N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - AMC,1,16/03/11,BIENES,ADQUISICION DE MATERIALES DE PROCESAMIENTO AUTOMATICO DE DATOS,16568,Soles,1,ADQUISICIÒN DE MATERIAL PAD,16568,"16171,4",01/04/11,01/06/11,20506730148,COLOR COMPUTER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,N,20506730148,COLOR COMPUTER EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,,,001941-01699236-00515937,0030,01/04/11,15/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\1699236750428390rad3A6E3.doc
2,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - AMC,1,16/03/11,BIENES,ADQUISICION DE CAJAS ARCHIVERAS,19650,Soles,1,ADQUISICION DE CAJAS ARCHIVERAS,19650,13200,01/04/11,31/05/11,20523005503,INDUMAZ DEL PERU EIRL,N,20523005503,INDUMAZ DEL PERU EIRL,,,001941-01699167-00515627,00032,01/04/11,15/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\1699167536116525rad3B121.doc
3,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2011 - ADS-AGN,1,03/08/11,BIENES,Adquisicion de material PAD,"59811,05",Soles,1,Adquisicion de material PAD,"59811,05","51127,32",08/09/11,20/09/11,20107903951,TRADING SERVICE M&A SRLTDA,N,20107903951,TRADING SERVICE M&A SRLTDA,,,001941-01769248-00532678,01,09/09/11,30/09/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\176924820252135radAC15A.pdf
4,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2011 - 2011-AGN-CEP,1,04/08/11,BIENES,ADQUISICION DE MATERIALES ELECTRICOS,"19947,4",Soles,1,ADQUISICION DE MATERIALES ELECTRICOS,"19947,4","15214,5",23/08/11,22/09/11,10403915748,DIAZ HERRERA ADHEMIR HAMILTON,N,10403915748,DIAZ HERRERA ADHEMIR HAMILTON,,,001941-01770058-00533202,0049-2011,23/08/11,30/09/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\1770058321757613radD7ED9.doc
5,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - 2011-AGN-CEP,1,26/10/11,BIENES,ADQUISICION DE VEHICULO AUTOMOTRIZ PARA LA JEFATURA INSTITUCIONAL DEL ARCHIVO GENERAL  DE LA NACION,"95250,4",Soles,1,ADQUISICION DE VEHICULO INSTITUCIONAL   PARA EL AGN,"95250,4","95020,4",23/11/11,25/11/11,20430500521,MC AUTOS DEL PERU S.A.,N,20430500521,MC AUTOS DEL PERU S.A.,,,001941-01825069-00545248,001-2011-AGN,24/11/11,21/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\18250691038790419rad66E76.doc
6,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA PUBLICA,ADP - 1 - 2011 - 2011-AGN-CEP,1,28/10/11,SERVICIOS,SERVICIO DE SEGURIDAD Y VIGILANCIA,285600,Soles,1,SERVICIO DE SEGURIDAD Y VIGILANCIA,285600,285600,30/11/11,16/12/11,20502268911,COMPANIA NACIONAL DE RESGUARDO S.A.C.,N,20502268911,COMPANIA NACIONAL DE RESGUARDO S.A.C.,,,001941-01827669-00550679,PRESTACION DE SERVICIO 001-2011-AGN,01/12/11,12/11/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\1827669490296754radE3FB9.doc
7,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA PUBLICA,ADP - 1 - 2011 - 2011-AGN-CEP,1,28/10/11,SERVICIOS,SERVICIO DE SEGURIDAD Y VIGILANCIA,285600,Soles,1,SERVICIO DE SEGURIDAD Y VIGILANCIA,285600,285600,30/11/11,16/12/11,20502268911,COMPANIA NACIONAL DE RESGUARDO S.A.C.,N,20502268911,COMPANIA NACIONAL DE RESGUARDO S.A.C.,,,001941-01827669-00550679,PRESTACION DE SERVICIO 001-2011-AGN,01/12/11,12/11/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\1827669490296754radE3FB9.doc
8,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2011 - 2011-AGN,1,09/11/11,BIENES,ADQUISICION DE EQUIPOS DE COMPUTO,47700,Soles,1,ADQUISICION DE EQUIPOS DE COMPUTO,47700,33700,07/12/11,15/12/11,20510160844,CIMETSYS PERU S.A.C.,N,20510160844,CIMETSYS PERU S.A.C.,,,001941-01834580-00550018,0002-2011-AGN,08/12/11,14/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\1834580287498118rad3F121.doc
9,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2011 - 2011-AGN-CEP,1,10/11/11,SERVICIOS,ACONDICIONAMIENTO Y REPARACION DE LOCALES DE REPOSITORIO(ENA Y HAWAI),"185563,98",Soles,1,SERVICIO DE REPARACION DE LOCALES ENA Y HAWAI,"185563,98",182563,14/12/11,16/12/11,20520592084,CONSORCIO KAMAFER SOCIEDAD ANONIMA CERRADA-CONSORCIO KAMAFER S.A.C.,N,20520592084,CONSORCIO KAMAFER SOCIEDAD ANONIMA CERRADA-CONSORCIO KAMAFER S.A.C.,,,001941-01836003-00550693,PRESTACION DE SERVICIO 002-2011-AGN,15/12/11,29/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\1836003490296754rad79DDB.doc
10,SEACE 2,2011,20131370726,ARCHIVO GENERAL DE LA NACION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 5 - 2011 - 2011-AGN-CEP,1,14/11/11,BIENES,ADQUISICION DE MATERIALES E INSUMOS DEL SISTEMA ELECTRICO PARA LA RENOVACION DEL CABLEADO ELECTRICO DEL LOCAL DE PALACIO DE JUSTICIA,189927,Soles,1,ADQUISICION DE MATERIALES E INSUMOS DEL SISTEMA ELECTRICO,189927,"160790,68",21/12/11,26/12/11,20101226434,CELEKSA S R L,N,20101226434,CELEKSA S R L,,,001941-01839002-00553133,SUMINISTRO 004-2011-AGN,22/12/11,27/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1941\1839002139696808radF83A0.doc
