N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2014 - ACFFAA,1,26/08/14,SERVICIOS,SERVICIO DE CONSULTORIA PARA LA ELABORACION DEL PLANEAMIENTO ESTRATEGICO INSTITUCIONAL DE LA ACFFAA,37760,Soles,1,SERVICIO DE CONSULTORIA PARA LA ELABORACION DEL PLANEAMIENTO ESTRATEGICO INSTITUCIONAL DE LA ACFFAA,37760,37760,10/09/14,01/10/14,20543978796,INMET SERVICIOS Y CONSULTORIAS SAC,N,20543978796,INMET SERVICIOS Y CONSULTORIAS SAC,,,201143-03210002-00872123,093,11/09/14,20/10/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3210002548925178rad8893B.pdf
2,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2014 - ACFFAA,1,26/08/14,SERVICIOS,SERVICIO DE CONSULTORIA PARA LA ELABORACION DEL PLANEAMIENTO ESTRATEGICO INSTITUCIONAL DE LA ACFFAA,37760,Soles,1,SERVICIO DE CONSULTORIA PARA LA ELABORACION DEL PLANEAMIENTO ESTRATEGICO INSTITUCIONAL DE LA ACFFAA,37760,37760,10/09/14,01/10/14,20543978796,INMET SERVICIOS Y CONSULTORIAS SAC,N,20543978796,INMET SERVICIOS Y CONSULTORIAS SAC,,,201143-03210002-00872123,093,11/09/14,20/10/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3210002548925178rad8893B.pdf
3,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 1 - 2014 - ACFFAA,1,19/09/14,SERVICIOS,SERVICIO DE ALQUILER DE INMUEBLE PARA LA ACFFAA,471600,Soles,1,SERVICIO DE ALQUILER DE INMUEBLE PARA LA ACFFAA,471600,471600,22/09/14,01/10/14,10072718408,BENZA DURAND GUIDO CARLOS,N,10072718408,BENZA DURAND GUIDO CARLOS,,,201143-03215293-00872111,s/n,22/09/14,21/09/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3215293548925178rad2BBFD.pdf
4,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2014 - ACFFAA,1,03/10/14,SERVICIOS,SERVICIO DE ALQUILER DE COMPUTADAS DE ESCRITORIO Y PORTATILES PARA LA ACFFAA,448200,Soles,1,SERVICIO DE ALQUILER DE COMPUTADAS DE ESCRITORIO Y PORTATILES PARA LA ACFFAA,448200,448200,26/12/14,01/12/14,20100083362,COSAPI DATA S A,N,20100083362,COSAPI DATA S A,,,201143-03250639-00893034,7-2014-ACFFAA,27/12/14,25/07/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3250639655427190rad6A6B6.pdf
5,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2014 - ACFFAA,1,03/10/14,SERVICIOS,SERVICIO DE ALQUILER DE COMPUTADAS DE ESCRITORIO Y PORTATILES PARA LA ACFFAA,448200,Soles,1,SERVICIO DE ALQUILER DE COMPUTADAS DE ESCRITORIO Y PORTATILES PARA LA ACFFAA,448200,448200,26/12/14,01/12/14,20100083362,COSAPI DATA S A,N,20100083362,COSAPI DATA S A,,,201143-03250639-00893034,7-2014-ACFFAA,27/12/14,25/07/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3250639655427190rad6A6B6.pdf
6,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2014 - ACFFAA,1,03/10/14,SERVICIOS,SERVICIO DE ALQUILER DE COMPUTADAS DE ESCRITORIO Y PORTATILES PARA LA ACFFAA,448200,Soles,1,SERVICIO DE ALQUILER DE COMPUTADAS DE ESCRITORIO Y PORTATILES PARA LA ACFFAA,448200,448200,26/12/14,01/12/14,20100083362,COSAPI DATA S A,N,20100083362,COSAPI DATA S A,,,201143-03250639-00893034,7-2014-ACFFAA,27/12/14,25/07/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3250639655427190rad6A6B6.pdf
7,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2014 - ACFFAA,1,17/10/14,SERVICIOS,"CONTRATACION DE SERVICIO DE IMPRESION, FOTOCOPIADO Y DIGITALIZACION DE DOCUMENTOS PARA LA ACFFAA",199600,Soles,1,"CONTRATACION DE SERVICIO DE IMPRESIàN, FOTOCOPIADO Y DIGITALIZACIàN DE DOCUMENTOS PARA LA ACFFAA",199600,199400,17/11/14,25/11/14,C0002748476,INVERSIONES ANCONA SAC - MAGNATECH SAC,S,20167795120,INVERSIONES ANCONA S.A.C.,20167795120,INVERSIONES ANCONA S.A.C.,201143-03259955-00890741,4,27/11/14,27/06/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3259955609793467rad8585D.pdf
8,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2014 - ACFFAA,1,17/10/14,SERVICIOS,"CONTRATACION DE SERVICIO DE IMPRESION, FOTOCOPIADO Y DIGITALIZACION DE DOCUMENTOS PARA LA ACFFAA",199600,Soles,1,"CONTRATACION DE SERVICIO DE IMPRESIàN, FOTOCOPIADO Y DIGITALIZACIàN DE DOCUMENTOS PARA LA ACFFAA",199600,199400,17/11/14,25/11/14,C0002748476,INVERSIONES ANCONA SAC - MAGNATECH SAC,S,20167795120,INVERSIONES ANCONA S.A.C.,20548221626,MAGNATECH S.A.C.,201143-03259955-00890741,4,27/11/14,27/06/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3259955609793467rad8585D.pdf
9,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2014 - ACFFAA,1,17/10/14,SERVICIOS,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",Soles,1,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",39515,18/11/14,28/11/14,20524476828,OLO DEL PERU S.A.C.,N,20524476828,OLO DEL PERU S.A.C.,,,201143-03259996-00892443,05-2014-ACFAAA,19/11/14,20/04/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\32599961038302649rad76769.pdf
10,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2014 - ACFFAA,1,17/10/14,SERVICIOS,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",Soles,1,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",39515,18/11/14,28/11/14,20524476828,OLO DEL PERU S.A.C.,N,20524476828,OLO DEL PERU S.A.C.,,,201143-03259996-00892443,05-2014-ACFAAA,19/11/14,20/04/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\32599961038302649rad76769.pdf
11,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2014 - ACFFAA,1,17/10/14,SERVICIOS,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",Soles,1,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",39515,18/11/14,28/11/14,20524476828,OLO DEL PERU S.A.C.,N,20524476828,OLO DEL PERU S.A.C.,,,201143-03259996-00892443,05-2014-ACFAAA,19/11/14,20/04/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\32599961038302649rad76769.pdf
12,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2014 - ACFFAA,1,17/10/14,SERVICIOS,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",Soles,1,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",39515,18/11/14,28/11/14,20524476828,OLO DEL PERU S.A.C.,N,20524476828,OLO DEL PERU S.A.C.,,,201143-03259996-00892443,05-2014-ACFAAA,19/11/14,20/04/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\32599961038302649rad76769.pdf
13,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2014 - ACFFAA,1,17/10/14,SERVICIOS,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",Soles,1,SERVICIO GESTIONADO DE SEGURIDAD Y OPTIMIZACION DE TRAFICO DEL ACCESO A INTERNET DEDICADO,"39515,25",39515,18/11/14,28/11/14,20524476828,OLO DEL PERU S.A.C.,N,20524476828,OLO DEL PERU S.A.C.,,,201143-03259996-00892443,05-2014-ACFAAA,19/11/14,20/04/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\32599961038302649rad76769.pdf
14,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2014 - ACFFAA,2,22/10/14,SERVICIOS,CONTRATACION DE SERVICIO DE INTERNET PARA LA ACFFAA,"39547,7",Soles,1,CONTRATACIàN DE SERVICIO DE INTERNET PARA LA ACFFAA,"39547,7",36950,07/11/14,11/11/14,20552504641,OPTICAL TECHNOLOGIES SAC,N,20552504641,OPTICAL TECHNOLOGIES SAC,,,201143-03262800-00885314,2-2014-ACFFAA,08/11/14,07/05/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3262800272653723rad7F8AA.pdf
15,SEACE 2,2014,20556939781,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2014 - ACFFAA,2,22/10/14,SERVICIOS,CONTRATACION DE SERVICIO DE INTERNET PARA LA ACFFAA,"39547,7",Soles,1,CONTRATACIàN DE SERVICIO DE INTERNET PARA LA ACFFAA,"39547,7",36950,07/11/14,11/11/14,20552504641,OPTICAL TECHNOLOGIES SAC,N,20552504641,OPTICAL TECHNOLOGIES SAC,,,201143-03262800-00885314,2-2014-ACFFAA,08/11/14,07/05/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201143\3262800272653723rad7F8AA.pdf
