N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - ENAMM,1,31/01/11,BIENES,ADQUISICION DE VESTUARIO PARA ADOPTRINAMIENTO DE ASPIRANTES,39914,Soles,1,ADQUISICION DE VESTUARIO PARA ADOPTRINAMIENTO DE ASPIRANTES,39914,39914,03/02/11,19/02/11,20427265910,MULTI TRADER S.A.C.,N,20427265910,MULTI TRADER S.A.C.,,,001956-01683552-00502579,001-0003962,10/02/11,22/02/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1683552889979853rad25190.jpg
2,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - ENAMM,1,02/02/11,BIENES,ADQUISICION DE ROPA DE CAMA,39996,Soles,1,ADQUISICION DE ROPA DE CAMA,39996,30892.4,07/03/11,07/03/11,20101015492,JORGE PEÑA S A JORPESA,N,20101015492,JORGE PEÑA S A JORPESA,,,001956-01684084-00504456,3976,08/03/11,11/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1684084667670427rad3CC23.jpg
3,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - ENAMM,1,08/02/11,BIENES,ADQUISICION DE PESCADOS Y MARISCOS,66330,Soles,1,ADQUISICION DE PESCADOS Y MARISCOS,66330,65970,09/03/11,28/12/11,C0001878616,CONSORCIO BUSINESS TRADING Y SERVICE SAC-NEGOCIACIONES VADIS,S,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,20137323967,NEGOCIACIONES VADIS S.A.C.,001956-01685483-00554342,2,09/03/11,28/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1685483482222859rad05B0A.zip
4,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - ENAMM,1,08/02/11,BIENES,ADQUISICION DE PESCADOS Y MARISCOS,66330,Soles,1,ADQUISICION DE PESCADOS Y MARISCOS,66330,65970,09/03/11,28/12/11,C0001878616,CONSORCIO BUSINESS TRADING Y SERVICE SAC-NEGOCIACIONES VADIS,S,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,001956-01685483-00554342,2,09/03/11,28/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1685483482222859rad05B0A.zip
5,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2011 - ENAMM,1,08/02/11,BIENES,ADQUISICION DE MENUDENCIA Y VISERAS,56134.9,Soles,1,ADQUISICION DE MENUDENCIA Y VISERAS,56134.9,55522.2,08/03/11,28/12/11,C0001878650,CONSORCIO NEGOCIACIONES VADIS SAC-BUSINESS TRADING Y SERVICE SAC,S,20137323967,NEGOCIACIONES VADIS S.A.C.,20137323967,NEGOCIACIONES VADIS S.A.C.,001956-01685507-00554376,3,08/03/11,28/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1685507486513543radA2DA6.zip
6,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2011 - ENAMM,1,08/02/11,BIENES,ADQUISICION DE MENUDENCIA Y VISERAS,56134.9,Soles,1,ADQUISICION DE MENUDENCIA Y VISERAS,56134.9,55522.2,08/03/11,28/12/11,C0001878650,CONSORCIO NEGOCIACIONES VADIS SAC-BUSINESS TRADING Y SERVICE SAC,S,20137323967,NEGOCIACIONES VADIS S.A.C.,20137323967,NEGOCIACIONES VADIS S.A.C.,001956-01685507-00554376,3,08/03/11,28/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1685507486513543radA2DA6.zip
7,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2011 - ENAMM,1,08/02/11,BIENES,ADQUISICION DE MENUDENCIA Y VISERAS,56134.9,Soles,1,ADQUISICION DE MENUDENCIA Y VISERAS,56134.9,55522.2,08/03/11,28/12/11,C0001878650,CONSORCIO NEGOCIACIONES VADIS SAC-BUSINESS TRADING Y SERVICE SAC,S,20137323967,NEGOCIACIONES VADIS S.A.C.,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,001956-01685507-00554376,3,08/03/11,28/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1685507486513543radA2DA6.zip
8,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2011 - ENAMM,1,08/02/11,BIENES,ADQUISICION DE MENUDENCIA Y VISERAS,56134.9,Soles,1,ADQUISICION DE MENUDENCIA Y VISERAS,56134.9,55522.2,08/03/11,28/12/11,C0001878650,CONSORCIO NEGOCIACIONES VADIS SAC-BUSINESS TRADING Y SERVICE SAC,S,20137323967,NEGOCIACIONES VADIS S.A.C.,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,001956-01685507-00554376,3,08/03/11,28/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1685507486513543radA2DA6.zip
9,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 5 - 2011 - ENAMM,1,10/02/11,BIENES,ADQUISICION DE FRUTAS,186300.48,Soles,1,ADQUISICION DE FRUTAS,186300.48,186149.3,10/03/11,28/12/11,C0001879135,CONSORCIO BUSINESS TRADING Y SERVICE SAC-NEGOCIACIONES VADIS SAC-DILIMA EIRL,S,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,20101322158,DILIMA EIRL,001956-01686203-00554400,4,10/03/11,29/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1686203486514889rad5638B.zip
10,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 5 - 2011 - ENAMM,1,10/02/11,BIENES,ADQUISICION DE FRUTAS,186300.48,Soles,1,ADQUISICION DE FRUTAS,186300.48,186149.3,10/03/11,28/12/11,C0001879135,CONSORCIO BUSINESS TRADING Y SERVICE SAC-NEGOCIACIONES VADIS SAC-DILIMA EIRL,S,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,20137323967,NEGOCIACIONES VADIS S.A.C.,001956-01686203-00554400,4,10/03/11,29/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1686203486514889rad5638B.zip
11,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 5 - 2011 - ENAMM,1,10/02/11,BIENES,ADQUISICION DE FRUTAS,186300.48,Soles,1,ADQUISICION DE FRUTAS,186300.48,186149.3,10/03/11,28/12/11,C0001879135,CONSORCIO BUSINESS TRADING Y SERVICE SAC-NEGOCIACIONES VADIS SAC-DILIMA EIRL,S,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,20206247879,BUSINESS TRADING Y SERVICE S.A.C.,001956-01686203-00554400,4,10/03/11,29/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1686203486514889rad5638B.zip
12,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2011 - ENAMM,1,14/02/11,BIENES,ADQUISICION DE ZAPATOS PARA ASPIRANTES,30336,Soles,1,ADQUISICION DE ZAPATOS PARA ASPIRANTES,30336,30336,25/02/11,07/03/11,20307214386,INDUSTRIAS MANRIQUE S.A.C.,N,20307214386,INDUSTRIAS MANRIQUE S.A.C.,,,001956-01686982-00504468,3991,28/02/11,18/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1686982667670427radD55F6.jpg
13,SEACE 2,2011,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 6 - 2011 - ENAMM,1,15/02/11,BIENES,ADQUISICION DE EMBUTIDOS Y LACTEOS,190091.6,Soles,1,ADQUISICION DE EMBUTIDOS Y LACTEOS,190091.6,188805,22/03/11,28/12/11,C0001881662,CONSORCIO NEGOCIACIONES VADIS SAC-BUSINESS TRADING Y SERVICE SAC,S,20137323967,NEGOCIACIONES VADIS S.A.C.,20137323967,NEGOCIACIONES VADIS S.A.C.,001956-01687409-00554463,9,22/03/11,29/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1956\1687409486516038rad95B89.zip
