N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 2 - 2015 - INACAL,1,10/07/15,SERVICIOS,CONTRATACION DE SERVICIO DE LIMPIEZA INTEGRAL DE LAS OFICINAS DEL INACAL.,"191980,3",Soles,1,CONTRATACION DE SERVICIO DE LIMPIEZA INTEGRAL DE LAS OFICINAS DEL INACAL.,"191980,3",191900,14/07/15,30/07/15,20557219987,ASEPCIA PERU S.A.C.,N,20557219987,ASEPCIA PERU S.A.C.,,,201585-00135960-00950426,02-2015-INACAL,14/07/15,13/12/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\335241330072015194748.pdf
2,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 1 - 2015 - INACAL,1,10/07/15,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA DEL INACAL,"323432,55",Soles,1,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA DEL INACAL,"323432,55",323430,14/07/15,30/07/15,20553529337,OPTIMUS SECURITY S.A.C. -  OPTIMUS SEC S.A.C.,N,20553529337,OPTIMUS SECURITY S.A.C. -  OPTIMUS SEC S.A.C.,,,201585-00136000-00950402,01-2015-INACAL,14/07/15,13/12/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\335241230072015192429.pdf
3,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2015 - INACAL,1,16/07/15,SERVICIOS,SERVICIO DE CONSULTORIA PARA DESARROLLO DE MANUAL DE MARCA,39000,Soles,1,SERVICIO DE CONSULTORIA PARA DESARROLLO DE MANUAL DE MARCA,39000,39000,24/07/15,31/07/15,20108221578,STUDIO A S.A.C,N,20108221578,STUDIO A S.A.C,,,201585-00138700-00950598,211,25/07/15,05/08/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\335512731072015105209.pdf
4,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2015 - INACAL,1,04/08/15,BIENES,ADQUISICION DE SILLAS GIRATORIAS PARA EL INACAL,"33389,08",Soles,1,SILLA GIRATORIA DE METAL,"33389,08",21000,25/08/15,25/08/15,20375450233,CHRIVACI SA,N,20375450233,CHRIVACI SA,,,201585-00146251-00958306,78,26/08/15,26/08/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\336250325082015145722.pdf
5,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 4 - 2015 - INACAL,1,20/08/15,SERVICIOS,CONTRATACION DEL SERVICIO DE AGENCIAMIENTO DE PASAJES AEREOS INTERNACIONALES,"184671,83",Soles,1,CONTRATACION DEL SERVICIO DE AGENCIAMIENTO DE PASAJES AEREOS INTERNACIONALES,"184671,83","184671,68",25/08/15,03/09/15,20100999430,DOMIRUTH TRAVEL SERVICE S.A.C,N,20100999430,DOMIRUTH TRAVEL SERVICE S.A.C,,,201585-00155553-00961815,03-2015-INACAL,25/08/15,24/12/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\336428603092015181219.pdf
6,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2015 - INACAL,1,01/09/15,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGUROS PERSONALES PARA EL INSTITUTO NACIONAL DE CALIDAD,"69869,2",Soles,1,CONTRATACION DEL SERVICIO DE SEGUROS PERSONALES,"69869,2","52495,67",30/09/15,23/10/15,C0002845652,CONSORCIO MAPFRE PERU - MAPFRE PERU VIDA - MAPFRE PERU EPS,S,20418896915,MAPFRE PERU VIDA COMPA?IA DE SEGUROS Y REASEGUROS,20202380621,MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.,201585-00161505-00977981,04,01/10/15,01/10/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\337637823102015145033.pdf
7,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2015 - INACAL,1,01/09/15,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGUROS PERSONALES PARA EL INSTITUTO NACIONAL DE CALIDAD,"69869,2",Soles,1,CONTRATACION DEL SERVICIO DE SEGUROS PERSONALES,"69869,2","52495,67",30/09/15,23/10/15,C0002845652,CONSORCIO MAPFRE PERU - MAPFRE PERU VIDA - MAPFRE PERU EPS,S,20418896915,MAPFRE PERU VIDA COMPA?IA DE SEGUROS Y REASEGUROS,20418896915,MAPFRE PERU VIDA COMPA?IA DE SEGUROS Y REASEGUROS,201585-00161505-00977981,04,01/10/15,01/10/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\337637823102015145033.pdf
8,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2015 - INACAL,1,01/09/15,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGUROS PERSONALES PARA EL INSTITUTO NACIONAL DE CALIDAD,"69869,2",Soles,1,CONTRATACION DEL SERVICIO DE SEGUROS PERSONALES,"69869,2","52495,67",30/09/15,23/10/15,C0002845652,CONSORCIO MAPFRE PERU - MAPFRE PERU VIDA - MAPFRE PERU EPS,S,20418896915,MAPFRE PERU VIDA COMPA?IA DE SEGUROS Y REASEGUROS,20517182673,MAPFRE PERU S.A. ENTIDAD PRESTADORA DE SALUD,201585-00161505-00977981,04,01/10/15,01/10/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\337637823102015145033.pdf
9,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2015 - INACAL,1,03/09/15,SERVICIOS,SERVICIO DE AGENCIAMIENTO DE PASAJES AEREOS INTERNACIONALES PARA EL INACAL,"722102,69",Soles,1,SERVICIO DE AGENCIAMIENTO DE PASAJES AEREOS,"722102,69","708413,03",10/11/15,17/11/15,20100999430,DOMIRUTH TRAVEL SERVICE S.A.C,N,20100999430,DOMIRUTH TRAVEL SERVICE S.A.C,,,201585-00162986-00986382,013-2015-INACAL,11/11/15,10/11/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201585\338701817112015165905.pdf
10,SEACE 3,2015,20600283015,INSTITUTO NACIONAL DE CALIDAD - INACAL,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 2 - 2015 - INACAL,1,10/09/15,SERVICIOS,CONTRATACION DE SERVICIO DE LIMPIEZA INTEGRAL DE LAS OFICINAS DEL INACAL POR 24 MESES,936000,Soles,1,CONTRATACION DE SERVICIO DE LIMPIEZA INTEGRAL DE LAS OFICINAS DEL INACAL POR 24 MESES,936000,733200,11/01/16,19/01/16,20428809069,DELTA CLEANERS S.A.C.,N,20428809069,DELTA CLEANERS S.A.C.,,,201585-00211023-01011152,4,11/01/16,10/01/18,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2016\201585\341453619012016142104.pdf
