N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2013 - ITP,1,18/02/13,BIENES,ADQUISICION DE SAL INDUSTRIAL MOLIDA (SACOS DE 50 KG C/U),34800,Soles,1,ADQUISICION DE SAL INDUSTRIAL MOLIDA (SACOS DE 50 KG C/U),34800,34800,05/03/13,11/03/13,20524216753,INDUSAL E.I.R.L.,N,20524216753,INDUSAL E.I.R.L.,,,001983-02486608-00687459,001,05/03/13,27/12/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2486608791601406radBE1F0.pdf
2,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2013 - ITP,1,19/02/13,BIENES,adquisicion de anchoveta tubo,33600,Soles,1,anchoveta tubo,33600,33600,27/02/13,05/03/13,20541741365,MARBELLA PROCESOS Y TRANSPORTES E.I.R.L.,N,20541741365,MARBELLA PROCESOS Y TRANSPORTES E.I.R.L.,,,001983-02486683-00686138,49,27/02/13,30/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2486683819161264radD12D6.pdf
3,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2013 - ITP,1,26/02/13,BIENES,ADQUISICION DE ANCHOVETA,33600,Soles,1,ADQUISICIÓN DE ANCHOVETA,33600,33600,11/03/13,14/03/13,20541741365,MARBELLA PROCESOS Y TRANSPORTES E.I.R.L.,N,20541741365,MARBELLA PROCESOS Y TRANSPORTES E.I.R.L.,,,001983-02497706-00688742,072,11/03/13,30/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2497706229949094radF638A.pdf
4,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 5 - 2013 - ITP,2,08/03/13,BIENES,ADQUISICION DE ENVASE DE HOJALATA,33024,Soles,1,ADQUISICIÓN DE ENVASE DE HOJALATA,33024,33024,19/03/13,19/03/13,20308430457,FABRICA DE ENVASES S.A,N,20308430457,FABRICA DE ENVASES S.A,,,001983-02518106-00690198,103,19/03/13,19/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2518106105703282rad6A00B.pdf
5,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 4 - 2013 - ITP,1,11/03/13,BIENES,ADQUISICION DE ACEITE VEGETAL,27200,Soles,1,ADQUISICION DE ACEITE VEGETAL,27200,27120,27/03/13,02/04/13,20130471464,COMERCIAL TRES ESTRELLAS S.A.,N,20130471464,COMERCIAL TRES ESTRELLAS S.A.,,,001983-02519970-00693575,116,27/03/13,08/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2519970418023850rad4CD3D.pdf
6,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2013 - PRODUCE,1,25/03/13,CONSULTORIAS OBRAS,Servicio de supervision de obra: infraestructura y acondicionamiento de areas del CITEMADERA PIP SNIP - Proyecto SNIP N 126739,135000,Soles,1,Servicio de supervisión de obra: infraestructura y acondicio,135000,121500,03/05/13,11/07/13,C0002379447,CONSORCIO SUPERVISOR PRODUCE,S,10102166278,AGUILAR HUAMAN LUIS ALBERTO,10102166278,AGUILAR HUAMAN LUIS ALBERTO,001983-02543980-00728718,57,04/05/13,29/01/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200018\2543980969981807rad89F66.pdf
7,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2013 - PRODUCE,1,25/03/13,CONSULTORIAS OBRAS,Servicio de supervision de obra: infraestructura y acondicionamiento de areas del CITEMADERA PIP SNIP - Proyecto SNIP N 126739,135000,Soles,1,Servicio de supervisión de obra: infraestructura y acondicio,135000,121500,03/05/13,11/07/13,C0002379447,CONSORCIO SUPERVISOR PRODUCE,S,10102166278,AGUILAR HUAMAN LUIS ALBERTO,10103154931,FLORES RAZURI MARCO ANTONIO,001983-02543980-00728718,57,04/05/13,29/01/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200018\2543980969981807rad89F66.pdf
8,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2013 - PRODUCE,1,25/03/13,CONSULTORIAS OBRAS,Servicio de supervision de obra: infraestructura y acondicionamiento de areas del CITEMADERA PIP SNIP - Proyecto SNIP N 126739,135000,Soles,1,Servicio de supervisión de obra: infraestructura y acondicio,135000,121500,03/05/13,11/07/13,C0002379447,CONSORCIO SUPERVISOR PRODUCE,S,10102166278,AGUILAR HUAMAN LUIS ALBERTO,10316286912,OBREGON VELASQUEZ MOISES RICARDO,001983-02543980-00728718,57,04/05/13,29/01/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200018\2543980969981807rad89F66.pdf
9,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2013 - ITP,1,26/03/13,BIENES,ADQUISICION DE BANDEJAS DE SECCION TRAPEZOIDAL DE ACERO INOXIDABLE,"66959,69",Soles,1,BANDEJAS DE SECCION TRAPEZOIDAL DE ACERO INOXIDABLE,"66959,69",66490,07/05/13,13/06/13,20100472008,NEGOCIOS Y SERVICIOS EJECUTIVOS SRL,N,20100472008,NEGOCIOS Y SERVICIOS EJECUTIVOS SRL,,,001983-02547270-00718553,004-2013-ITP,08/05/13,01/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2547270306233055rad3CD89.pdf
10,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,LICITACION PUBLICA,LP - 1 - 2013 - ITP,1,26/03/13,BIENES,ADQUISICION DE ANCHOVETA CORTE TUBO,674240,Soles,1,ANCHOVETA CORTE TUBO,674240,674240,14/05/13,05/06/13,20517577422,YABAFISH S.A.C.,N,20517577422,YABAFISH S.A.C.,,,001983-02546505-00715409,005-2013-ITP,15/05/13,30/09/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\25465051030977496radB7B02.pdf
11,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2013 - ITP,1,27/03/13,BIENES,ADQUISICION DE COCHES PORTA BANDEJA DE ACERO INOXIDABLE,53572,Soles,1,COCHES PORTA BANDEJA DE ACERO INOXIDABLE,53572,52000,06/06/13,18/06/13,20250809396,FABRICACION Y SUMINISTROS INDUST.E.I.R.L,N,20250809396,FABRICACION Y SUMINISTROS INDUST.E.I.R.L,,,001983-02547462-00720118,012-2013-ITP/SG/OGA-ABAST,06/06/13,31/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2547462110445275radCCAD1.pdf
12,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2013 - ITP,1,27/03/13,BIENES,ADQUISICION DE COCHES PORTA BANDEJA DE ACERO INOXIDABLE,53572,Soles,1,COCHES PORTA BANDEJA DE ACERO INOXIDABLE,53572,52000,06/06/13,18/06/13,20250809396,FABRICACION Y SUMINISTROS INDUST.E.I.R.L,N,20250809396,FABRICACION Y SUMINISTROS INDUST.E.I.R.L,,,001983-02547462-00720118,012-2013-ITP/SG/OGA-ABAST,06/06/13,31/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2547462110445275radCCAD1.pdf
13,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2013 - ITP,1,27/03/13,BIENES,ADQUISICION DE COCHES PORTA BANDEJA DE ACERO INOXIDABLE,53572,Soles,1,COCHES PORTA BANDEJA DE ACERO INOXIDABLE,53572,52000,06/06/13,18/06/13,20250809396,FABRICACION Y SUMINISTROS INDUST.E.I.R.L,N,20250809396,FABRICACION Y SUMINISTROS INDUST.E.I.R.L,,,001983-02547462-00720118,012-2013-ITP/SG/OGA-ABAST,06/06/13,31/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2547462110445275radCCAD1.pdf
14,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2013 - ITP,1,27/03/13,BIENES,ADQUISICION DE COCHES PORTA BANDEJA DE ACERO INOXIDABLE,53572,Soles,1,COCHES PORTA BANDEJA DE ACERO INOXIDABLE,53572,52000,06/06/13,18/06/13,20250809396,FABRICACION Y SUMINISTROS INDUST.E.I.R.L,N,20250809396,FABRICACION Y SUMINISTROS INDUST.E.I.R.L,,,001983-02547462-00720118,012-2013-ITP/SG/OGA-ABAST,06/06/13,31/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2547462110445275radCCAD1.pdf
15,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 6 - 2013 - ITP,2,02/04/13,BIENES,ADQUISICION DE VEHICULO POR RENOVACION,"33787,5",Soles,1,VEHÍCULO,"33787,5",30140,23/04/13,15/05/13,20160286068,MAQUINARIAS S.A.,N,20160286068,MAQUINARIAS S.A.,,,001983-02553993-00707729,02-2013-ITP,24/04/13,24/06/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2553993493347997radED8A0.pdf
16,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 1 - 2013 - ITP,1,11/04/13,BIENES,ADQUISICIÓN DE RNA ULTRASENSE ONE STEP QRT-PCR SYSTEM,162750,Soles,1,KIT DE RNA ULTRASENSE ONE STEP QRT-PCR SYSTEM,162750,162750,19/04/13,04/06/13,20160056062,BELOMED S.R.L.,N,20160056062,BELOMED S.R.L.,,,001983-02569953-00714993,003-2013-ITP,19/04/13,16/12/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2569953857217108rad5F8C1.pdf
17,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2013 - ITP,1,17/04/13,SERVICIOS,SERVICIO DE RADIO TRONCALIZADO DIGITAL CON INTERCONEXION TELEFONICA,"62733,76",Soles,1,SERVICIO DE RADIO TRONCALIZADO DIGITAL CON INTERCONEXION TELEFONICA,"62733,76","62727,76",15/05/13,26/06/13,20106897914,NEXTEL DEL PERU S.A.,N,20106897914,NEXTEL DEL PERU S.A.,,,001983-02579548-00723508,006-2013-ITP,15/05/13,31/05/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\2579548456496921rad55916.pdf
18,SEACE 2,2013,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2013 - ITP,1,22/04/13,SERVICIOS,SERVICIO DE ALQUILER DE UNA EMBARCACION PARA MONITOREOS - BAHIA SECHURA,128856,Soles,1,SERVICIO DE ALQUILER DE UNA EMBARCACION PARA MONITOREOS - BAHIA SECHURA,128856,128856,24/05/13,18/06/13,20526636954,EMPRESA PESQUERA CAMVER S.A.C.,N,20526636954,EMPRESA PESQUERA CAMVER S.A.C.,,,001983-02585457-00719801,007-2013-ITP,18/06/13,18/06/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\1983\258545751210687radF6A85.PDF
