N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - APCI,1,29/03/11,SERVICIOS,CONTRATACION DEL SERVICIO DE ALQUILER DE MULTIFUNCIONALES,"38960,2",Soles,1,CONTRATACION DEL SERVICIO DE ALQUILER DE FOTOCOPIADORAS,"38960,2","38960,2",08/04/11,26/04/11,20100466709,COPISERVICE E I R L,N,20100466709,COPISERVICE E I R L,,,200021-01705797-00510985,001-2011-APCI-OGA,11/04/11,10/04/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1705797875878072rad89186.pdf
2,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - APCI,1,30/03/11,SERVICIOS,CONTRATACION DEL SERVICIO DE ALQUILER DE MULTIFUNCIONALES,"38960,2",Soles,1,CONTRATACION DEL SERVICIO DE ALQUILER DE FOTOCOPIADORAS,"38960,2","38960,2",08/04/11,26/04/11,20100466709,COPISERVICE E I R L,N,20100466709,COPISERVICE E I R L,,,200021-01705797-00510985,001-2011-APCI-OGA,11/04/11,10/04/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1705797875878072rad89186.pdf
3,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2011 - APCI,1,14/04/11,SERVICIOS,CONTRATO DEL SERVICIO DE ALQUILER DE OFICINAS,"84110,4",Soles,1,CONTRATO DEL SERVICIO DE ALQUILER DE OFICINAS,"84110,4","84110,4",17/05/11,28/05/11,20100041953,RIMAC INTERNACIONAL COMPAÑIA DE SEGUROS Y REASEGUROS,N,20100041953,RIMAC INTERNACIONAL COMPAÑIA DE SEGUROS Y REASEGUROS,,,200021-01714813-00515319,02-2011-APCI/OGA,17/05/11,16/05/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1714813140662464radB31C7.pdf
4,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - APCI,1,10/06/11,SERVICIOS,CONTRATACION  DEL SERVICIO DE LINEA DEDICADA PARA ACCESO A INTERNET,31500,Soles,1,CONTRATACION  DEL SERVICIO DE LINEA DEDICADA PARA ACCESO A INTERNET,31500,31000,20/06/11,27/06/11,C0001933781,CONSORCIO OPTICAL,S,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,200021-01741373-00519920,003-2011-APCI-OGA,21/06/11,20/06/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1741373129803846rad5C6A2.pdf
5,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - APCI,1,10/06/11,SERVICIOS,CONTRATACION  DEL SERVICIO DE LINEA DEDICADA PARA ACCESO A INTERNET,31500,Soles,1,CONTRATACION  DEL SERVICIO DE LINEA DEDICADA PARA ACCESO A INTERNET,31500,31000,20/06/11,27/06/11,C0001933781,CONSORCIO OPTICAL,S,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,20521668378,OPTICAL  NETWORKS S.A.C.,200021-01741373-00519920,003-2011-APCI-OGA,21/06/11,20/06/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1741373129803846rad5C6A2.pdf
6,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2011 - APCI,1,07/09/11,SERVICIOS,CONTRATACION DEL SERVICIO DE MENSAJERIA LOCAL Y NACIONAL,62235,Soles,1,CONTRATACION DEL SERVICIO DE MENSAJERIA LOCAL Y NACIONAL,62235,55919,14/10/11,28/10/11,20387377167,MACRO POST S.A.C.,N,20387377167,MACRO POST S.A.C.,,,200021-01789966-00539755,05,15/11/11,14/11/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1789966344243351rad23AE8.pdf
7,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2011 - APCI,1,07/09/11,SERVICIOS,CONTRATACION DEL SERVICIO DE MENSAJERIA LOCAL Y NACIONAL,62235,Soles,1,CONTRATACION DEL SERVICIO DE MENSAJERIA LOCAL Y NACIONAL,62235,55919,14/10/11,28/10/11,20387377167,MACRO POST S.A.C.,N,20387377167,MACRO POST S.A.C.,,,200021-01789966-00539755,05,15/11/11,14/11/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1789966344243351rad23AE8.pdf
8,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - APCI,1,15/09/11,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"72135,48",Soles,1,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"72135,48",62700,21/10/11,28/10/11,C0002004458,CORPORACION DE SEGURIDAD LATINA SAC - SESPAR S.A.C.,S,20524655757,CORPORACION DE SEGURIDAD LATINA SAC,20524246580,SERVICIO DE SEGURIDAD INTEGRAL Y POLICIA PARTICULAR SOCIEDAD ANONIMA CERRADA - SESPAR S.A.C,200021-01795591-00539785,6,22/10/11,22/10/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1795591344244775rad3459F.pdf
9,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - APCI,1,15/09/11,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"72135,48",Soles,1,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"72135,48",62700,21/10/11,28/10/11,C0002004458,CORPORACION DE SEGURIDAD LATINA SAC - SESPAR S.A.C.,S,20524655757,CORPORACION DE SEGURIDAD LATINA SAC,20524246580,SERVICIO DE SEGURIDAD INTEGRAL Y POLICIA PARTICULAR SOCIEDAD ANONIMA CERRADA - SESPAR S.A.C,200021-01795591-00539785,6,22/10/11,22/10/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1795591344244775rad3459F.pdf
10,SEACE 2,2011,20504915523,AGENCIA PERUANA DE COOPERACION INTERNACIONAL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - APCI,1,15/09/11,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"72135,48",Soles,1,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"72135,48",62700,21/10/11,28/10/11,C0002004458,CORPORACION DE SEGURIDAD LATINA SAC - SESPAR S.A.C.,S,20524655757,CORPORACION DE SEGURIDAD LATINA SAC,20524246580,SERVICIO DE SEGURIDAD INTEGRAL Y POLICIA PARTICULAR SOCIEDAD ANONIMA CERRADA - SESPAR S.A.C,200021-01795591-00539785,6,22/10/11,22/10/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200021\1795591344244775rad3459F.pdf
