N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 3,2014,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2014 - OTASS,1,19/11/14,SERVICIOS,CONTRATACION DE SERVICIO DE ALQUILER DE OFICINAS ADMINISTRATIVAS PARA EL ORGANISMO TECNICO DE LA ADMINISTRACION DE LOS SERVICIOS DE SANEAMIENTO,7500,Dolares,1,ALQUILER DE OFICINAS ADMINISTRATIVAS PARA EL OTASS,7500,7500,28/11/14,04/12/14,10067860620,ARDILES SANCHEZ MANUEL ANGEL,N,10067860620,ARDILES SANCHEZ MANUEL ANGEL,,,201305-00056272-00894665,001-2014-OTASS,01/12/14,28/02/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201305\328494179179738rad7AA12.pdf
2,SEACE 3,2014,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2014 - OTASS,1,02/12/14,BIENES,ADJUDICACIÓN DE MENOR CUANTÍA PARA LA CONTRATACIÓN DE LICENCIAS SOFTWARE MS OFFICE,"36366,8",Soles,1,ADQUISICIÓN DE LICENCIAS MS OFFICE ESTÁNDAR OLP - GOV,"36366,8",34786,22/12/14,26/12/14,20473672554,UNIXCOMP S.A.C.,N,20473672554,UNIXCOMP S.A.C.,,,201305-00061572-00904161,002-2014-OTASS,23/12/14,26/12/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201305\3298971621494692radE2D3B.pdf
3,SEACE 3,2014,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2014 - OTASS,1,15/12/14,BIENES,ADQUISICIÓN DE SERVIDOR DE ARCHIVOS,"31596,4",Soles,1,SERVIDOR DE ARCHIVOS,"31596,4",27270,29/12/14,30/12/14,20487377903,BIENES Y MULTISERVICIOS CORPORATIVOS S.A.C.,N,20487377903,BIENES Y MULTISERVICIOS CORPORATIVOS S.A.C.,,,201305-00066908-00907080,003-2014-OTASS,29/12/14,31/12/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\201305\3306703384304263rad53F0B.pdf
4,SEACE 3,2015,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA PUBLICA,ADP - 1 - 2015 - OTASS,1,20/03/15,SERVICIOS,CONTRATACIÓN DEL SERVICIO DE ALQUILER DE OFICINAS PARA EL OTASS,"80793,6",Dolares,1,SERVICIO DE ALQUILER DE LOCAL,"80793,6","80793,6",15/04/15,17/04/15,10065445625,RIZO PATRON BASURCO ANTENOR SANTIAGO,N,10065445625,RIZO PATRON BASURCO ANTENOR SANTIAGO,,,201305-00087150-00923259,001-2015-OTASS,01/05/15,30/04/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201305\332650317042015164308.pdf
5,SEACE 3,2015,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2015 - OTASS,1,06/05/15,SERVICIOS,SERVICIO DE SEGURIDAD Y VIGILANCIA PARA LAS OFICINAS DEL OTASS,19576,Soles,1,SERVICIO DE SEGURIDAD Y VIGILANCIA PARA LAS OFICINAS DEL OTASS,19576,15060,12/05/15,28/05/15,20502742095,E & J SEGURIDAD INTEGRAL S.A.C,N,20502742095,E & J SEGURIDAD INTEGRAL S.A.C,,,201305-00105428-00932876,060-2015-OTASS,13/05/15,30/06/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201305\3334050999712570radB6D54.pdf
6,SEACE 3,2015,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2015 - OTASS,1,08/05/15,SERVICIOS,SERVICIO DE MENSAJERIA A NIVEL LOCAL Y NACIONAL PARA EL OTASS,30895,Soles,1,SERVICIO DE MENSAJERIA A NIVEL LOCAL NACIONAL,30895,24706,21/05/15,28/05/15,20340787260,SERVICE J.C.U. SRL,N,20340787260,SERVICE J.C.U. SRL,,,201305-00106116-00932943,002-2015/OTASS,22/05/15,21/04/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201305\3336431999713542radA60B9.pdf
7,SEACE 3,2015,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2015 - OTASS,1,20/05/15,SERVICIOS,SERVICIO DE SEGURIDAD Y VIGILANCIA PARA LAS OFICINAS DEL OTASS,"13114,67",Soles,1,SERVICIO DE SEGURIDAD Y VIGILANCIA PARA LAS OFICINAS DEL OTASS,"13114,67","12328,59",29/05/15,10/06/15,20545644577,MPD SOLUCIONES Y TECNOLOGIA SOCIEDAD ANONIMA CERRADA,N,20545644577,MPD SOLUCIONES Y TECNOLOGIA SOCIEDAD ANONIMA CERRADA,,,201305-00111771-00936254,080,01/06/15,31/07/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201305\3339694944980978radABB15.pdf
8,SEACE 3,2015,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 4 - 2015 - OTASS,1,27/05/15,SERVICIOS,SERVICIO DE INSTALACIÓN DE CABLEADO ELÉCTRICO EN LAS OFICINAS DEL ORGANISMO TÉCNICO DE LA ADMINISTRACIÓN DE LOS SERVICIOS DE SANEAMIENTO,37525,Soles,1,SERVICIO DE INSTALACIÓN DE CABLEADO ELÉCTRICO EN LAS OFICINAS DEL OTASS,37525,29890,09/06/15,10/06/15,20549696784,GONGORA Y FERNANDEZ CONSTRUCTORES S.A.C. - GOFEC S.A.C.,N,20549696784,GONGORA Y FERNANDEZ CONSTRUCTORES S.A.C. - GOFEC S.A.C.,,,201305-00115032-00936259,088,10/06/15,25/06/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201305\3341757944981329rad14DAA.pdf
9,SEACE 3,2015,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2015 - OTASS,1,04/06/15,SERVICIOS,SERVICIO DE ALQUILER DE OFICINAS PARA EL ORGANISMO TECNICO DE LA ADMINISTRACION DE LOS SERVICIOS DE SANEAMIENTO,51360,Dolares,1,SERVICIO DE ALQUILER DE OFICINAS PARA EL ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,51360,51360,23/06/15,01/07/15,10065445625,RIZO PATRON BASURCO ANTENOR SANTIAGO,N,10065445625,RIZO PATRON BASURCO ANTENOR SANTIAGO,,,201305-00118325-00941657,03-2015-OTASS,01/07/15,30/06/16,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201305\3346334432226653rad97591.pdf
10,SEACE 3,2015,20565423372,ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 5 - 2015 - OTASS,1,05/06/15,SERVICIOS,CONTRATACIÓN DE SERVICIO DE ACONDICIONAMIENTO DE CABLEADO ESTRUCTURADO DE LAS OFICINAS DEL OTASS,"39977,22",Soles,1,CONTRATACIÓN DE SERVICIO DE ACONDICIONAMIENTO DE CABLEADO ESTRUCTURADO PARA LAS OFICINAS DEL OTASS.,"39977,22",27500,19/06/15,19/06/15,20565558111,ONETIME S.A.C.,N,20565558111,ONETIME S.A.C.,,,201305-00119304-00939139,095-2015,20/06/15,27/06/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\201305\3344739510914386rad5FD31.pdf
