N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2010 - -SENCICO-15.00,1,30/12/10,SERVICIOS,SERVICIO DE VIGILANCIA Y POLICIA PARTICULAR,96000,Soles,1,SERVICIO DE VIGILANCIA Y POLICIA PARTICULAR,96000,"95799,95",31/01/11,08/09/15,20483875518,POLICIA PARTICULAR TUMPIS  SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,N,20483875518,POLICIA PARTICULAR TUMPIS  SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,,,001993-01678133-00963236,001-2011-15.00,01/02/11,31/01/11,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\1993\1678133798869032radF7151.pdf
2,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - SENCICO,1,26/01/11,SERVICIOS,SERVICIO DE PUBLICIDAD EN DIARIOS LOCALES PARA LA ESCUELA SUPERIOR TECNICA,39850,Soles,1,PUBLICIDAD EN DIARIOS LOCALE PARA ESCUELA,39850,39430,09/02/11,09/02/11,20293877964,PRODUCCIONES GENESIS S.A.C.,N,20293877964,PRODUCCIONES GENESIS S.A.C.,,,001993-01682754-00501617,113-2011,09/02/11,21/02/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1993\1682754349123383rad04B2B.pdf
3,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - SENCICO,1,26/01/11,SERVICIOS,SERVICIO DE PUBLICIDAD EN DIARIOS LOCALES PARA LA ESCUELA SUPERIOR TECNICA,39850,Soles,1,PUBLICIDAD EN DIARIOS LOCALE PARA ESCUELA,39850,39430,09/02/11,09/02/11,20293877964,PRODUCCIONES GENESIS S.A.C.,N,20293877964,PRODUCCIONES GENESIS S.A.C.,,,001993-01682754-00501617,113-2011,09/02/11,21/02/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1993\1682754349123383rad04B2B.pdf
4,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - SENCICO,1,09/02/11,SERVICIOS,SERVICIO DE PUBLICIDAD EN DIARIOS LOCALES PARA LA ESCUELA SUPERIOR TECNICA,39850,Soles,1,PUBLICIDAD EN DIARIOS LOCALE PARA ESCUELA,39850,39430,09/02/11,09/02/11,20293877964,PRODUCCIONES GENESIS S.A.C.,N,20293877964,PRODUCCIONES GENESIS S.A.C.,,,001993-01682754-00501617,113-2011,09/02/11,21/02/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1993\1682754349123383rad04B2B.pdf
5,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - SENCICO-2011,1,17/02/11,BIENES,AQUISICION DE PAPEL BOND DE 80 GRAMOS,"33837,91",Soles,1,AQUISICION DE PAPEL BOND DE 80 GRAMOS,"33837,91","32823,31",01/03/11,06/04/11,20100047641,PAPELERA NACIONAL S A,N,20100047641,PAPELERA NACIONAL S A,,,001993-01688126-00508326,001-2011-SENCICO,01/03/11,01/03/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1993\1688126458060324rad09681.doc
6,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA PUBLICA,ADP - 1 - 2011 - SENCICO,1,04/03/11,SERVICIOS,SERVICIO DE SEGURO DE ALUMNOS,210000,Soles,1,SERVICIO DE SEGURO DE ALUMNOS,210000,200000,24/03/11,10/05/11,20100041953,RIMAC INTERNACIONAL COMPAÑIA DE SEGUROS Y REASEGUROS,N,20100041953,RIMAC INTERNACIONAL COMPAÑIA DE SEGUROS Y REASEGUROS,,,001993-01694313-00512723,002-2011,25/03/11,25/03/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1993\1694313109557543rad8E337.pdf
7,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - 2009-SENCICO 16.00,1,25/03/11,BIENES,CONTRATACION DE COMPRA DE CEMENTO PARA CERCO PERIMETRICO UO CAJAMARCA,12905,Soles,1,CEMENTO TIPO I,12905,12905,31/03/11,17/09/15,20491740800,EMPRESA DISTRIBUIDORA LINARES SRL,N,20491740800,EMPRESA DISTRIBUIDORA LINARES SRL,,,001993-01704353-00966564,170-0001640,31/03/11,31/03/11,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\1993\1704353398879421rad86CFA.PDF
8,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - 2009-SENCICO 16.00,1,25/03/11,BIENES,CONTRATACION DE COMPRA DE MALLA METALICA PARA CERCO PERIMETRICO UO CAJAMARCA,18645,Soles,1,MALLA ELECTROSOLDADA DE 4,18645,17050,31/03/11,17/09/15,20495831176,FERRETERA SANTA TERESA S.A.C,N,20495831176,FERRETERA SANTA TERESA S.A.C,,,001993-01704363-00966587,170-0001641,31/03/11,31/03/11,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\1993\1704363398879421rad8BCBA.PDF
9,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - SENCICO-11.00,1,04/04/11,BIENES,ADQUISICION DE MADERA Y TRIPLAY PARA LA GERENCIA ZONAL LIMA CALLAO,"39215,12",Soles,1,ADQUISICION DE MADERA Y TRIPLAY PARA LA GERENCIA ZONAL LIMA CALLAO,"39215,12","39065,63",14/04/11,19/04/11,20125534393,COMERCIAL VILCA S.A.,N,20125534393,COMERCIAL VILCA S.A.,,,001993-01708408-00510290,001-2011-GZLC,15/04/11,29/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1993\1708408638393452rad8F253.doc
10,SEACE 2,2011,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - SENCICO-11.00,1,04/04/11,BIENES,ADQUISICION DE MATERIALES DE PVC Y CPVC PARA LOS CURSOS DE LA GERENCIA ZONAL LIMA CALLAO,"39932,1",Soles,1,ADQUISICION DE MATERIALES DE PVC Y CPVC PARA LOS CURSOS DE LA GERENCIA LIMA CALLAO,"39932,1","27467,13",03/05/11,10/05/11,20522063089,CSM HYDRAULIC ENGINEERING SOCIEDAD ANONIMA CERRADA -  CSM HYDRAULIC ENGINEERING S.A.C.,N,20522063089,CSM HYDRAULIC ENGINEERING SOCIEDAD ANONIMA CERRADA -  CSM HYDRAULIC ENGINEERING S.A.C.,,,001993-01708353-00512542,2,04/05/11,29/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1993\1708353109550894radE60DC.doc
