N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2012 - SBN-CEP,1,16/04/12,BIENES,ADQUISICION DE PAPEL HIGIENICO Y PAPEL TOALLA,"16507,68",Soles,1,ADQUISICION DE PAPEL HIGIENICO Y PAPEL TOALLA,"16507,68",10450,05/06/12,07/06/12,20515386760,LINEA INSTITUCIONAL LORENS E.I.R.L. - LINS E.I.R.L.,N,20515386760,LINEA INSTITUCIONAL LORENS E.I.R.L. - LINS E.I.R.L.,,,001917-02003442-00593411,51-2012,05/06/12,04/06/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\2003442110665286rad3DBFF.pdf
2,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2012 - SBN-CEP,1,25/04/12,BIENES,ADQUISICION DE PAPEL HIGIENICO Y PAPEL TOALLA,"16507,68",Soles,1,ADQUISICION DE PAPEL HIGIENICO Y PAPEL TOALLA,"16507,68",10450,05/06/12,07/06/12,20515386760,LINEA INSTITUCIONAL LORENS E.I.R.L. - LINS E.I.R.L.,N,20515386760,LINEA INSTITUCIONAL LORENS E.I.R.L. - LINS E.I.R.L.,,,001917-02003442-00593411,51-2012,05/06/12,04/06/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\2003442110665286rad3DBFF.pdf
3,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2012 - SBN-CEP,1,26/06/12,SERVICIOS,SERVICIO DE MANTENIMIENTO PREVENTIVO DE 06 CAMIONETAS MARCA TOYOTA,"33986,24",Soles,1,SERVICIO DE MANTENIMIENTO PREVENTIVO DE 06 CAMIONETAS MARCA TOYOTA,"33986,24","33835,39",18/07/12,19/07/12,20256211310,MITSUI AUTOMOTRIZ S A,N,20256211310,MITSUI AUTOMOTRIZ S A,,,001917-02107486-00607931,347,19/07/12,18/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\210748615865744radB2E9E.pdf
4,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2012 - SBN-CEP,1,26/06/12,SERVICIOS,SERVICIO DE MANTENIMIENTO PREVENTIVO DE 06 CAMIONETAS MARCA TOYOTA,"33986,24",Soles,1,SERVICIO DE MANTENIMIENTO PREVENTIVO DE 06 CAMIONETAS MARCA TOYOTA,"33986,24","33835,39",18/07/12,19/07/12,20256211310,MITSUI AUTOMOTRIZ S A,N,20256211310,MITSUI AUTOMOTRIZ S A,,,001917-02107486-00607931,347,19/07/12,18/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\210748615865744radB2E9E.pdf
5,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2012 - SBN-CEP,1,26/06/12,SERVICIOS,SERVICIO DE MANTENIMIENTO PREVENTIVO DE 06 CAMIONETAS MARCA TOYOTA,"33986,24",Soles,1,SERVICIO DE MANTENIMIENTO PREVENTIVO DE 06 CAMIONETAS MARCA TOYOTA,"33986,24","33835,39",18/07/12,19/07/12,20256211310,MITSUI AUTOMOTRIZ S A,N,20256211310,MITSUI AUTOMOTRIZ S A,,,001917-02107486-00607931,347,19/07/12,18/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\210748615865744radB2E9E.pdf
6,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2012 - SBN-CE,1,27/06/12,SERVICIOS,SERVICIO DE FOTOCOPIADO DE DOCUMENTOS,92676,Soles,1,SERVICIO DE FOTOCOPIADO DE DOCUMENTOS,92676,70194,06/08/12,10/08/12,20100466709,COPISERVICE E I R L,N,20100466709,COPISERVICE E I R L,,,001917-02109060-00615481,10-2012/SBN-OAF,07/08/12,06/08/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\2109060703367082rad2C126.pdf
7,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2012 - SBN-CEP,1,28/06/12,BIENES,ADQUISICION DE IMPRESORAS LASER,26835,Soles,1,ADQUISICION DE IMPRESORAS LASER,26835,26830,01/08/12,02/08/12,20510032684,ONCORE SOCIEDAD ANONIMA CERRADA,N,20510032684,ONCORE SOCIEDAD ANONIMA CERRADA,,,001917-02112120-00612307,92,02/08/12,20/08/12,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\2112120342242671rad4E596.pdf
8,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2012 - SBN-CE,1,02/07/12,SERVICIOS,SERVICIO DE FOTOCOPIADO DE DOCUMENTOS,92676,Soles,1,SERVICIO DE FOTOCOPIADO DE DOCUMENTOS,92676,70194,06/08/12,10/08/12,20100466709,COPISERVICE E I R L,N,20100466709,COPISERVICE E I R L,,,001917-02109060-00615481,10-2012/SBN-OAF,07/08/12,06/08/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\2109060703367082rad2C126.pdf
9,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 4 - 2012 - SBN-CEP,2,11/07/12,SERVICIOS,CONTRATACION DEL SERVICIO DE ASESORIA LEGAL ESPECIALIZADO,30000,Soles,1,CONTRATACION DEL SERVICIO DE ASESORIA LEGAL ESPECIALIZADO,30000,30000,18/07/12,02/08/12,20538175481,ESTUDIO MUÑIZ RAMIREZ PEREZ-TAIMAN & OLAYA SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA,N,20538175481,ESTUDIO MUÑIZ RAMIREZ PEREZ-TAIMAN & OLAYA SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA,,,001917-02128471-00612374,350,18/07/12,02/01/12,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\2128471342244672rad34AB1.pdf
10,SEACE 2,2012,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 6 - 2012 - SBN-CEP,1,18/07/12,SERVICIOS,CONTRATACION DE UNA EMPRESA ESPECIALIZADA PARA QUE BRINDE EL SERVICIO DE EVALUACION DE CONOCIMIENTOS Y EVALUACION PSICOTENCNICA DEL PERSONAL PARA COBERTURA DE LAS PLAZAS VACANTES EXISTENTES EN LA SBN,"39978,4",Soles,1,CONTRATACION DE UNA EMPRESA ESPECIALIZADA PARA QUE BRINDE EL SERVICIO DE EVALUACION DE CONOCIMIENTOS Y EVALUACION PSICOTENCNICA DEL PERSONAL PARA COBERTURA DE LAS PLAZAS VACANTES EXISTENTES EN LA SBN,"39978,4",33040,08/08/12,05/09/12,20509815501,CORPORACION RYH SOCIEDAD ANONIMA CERRADA,N,20509815501,CORPORACION RYH SOCIEDAD ANONIMA CERRADA,,,001917-02139643-00623443,384,10/08/12,28/09/12,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\1917\21396431009218949radAF402.pdf
