N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 2 - 2010 - AATE,1,03/11/10,SERVICIOS,ESTUDIO DE RACIONALIZACION DE RUTAS DE TRANSPORTE PUBLICO,"803995,89",Soles,1,ESTUDIO DE RACIONALIZACION DE RUTAS DE TRANSPORTE PUBLICO DE PASAJEROS EN EL AREA DE INFLUENCIA DE LA LINEA 1 DE LA AATE,"803995,89","739676,22",03/01/11,13/01/11,20510186991,TARYET S.L. EN PERU,N,20510186991,TARYET S.L. EN PERU,,,010232-01642353-00499267,002-2011-MTC/33.2,04/01/11,02/06/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1642353992559385rad50207.pdf
2,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 42 - 2010 - AATE,2,14/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE ACONDICIONAMIENTO DE  TECHO DE PATIO INTERIOR DEL EDIFICIO DE LA AATE EN SAN BORJA,21130,Soles,1,CONTRATACION DEL SERVICIO DE ACONDICIONAMIENTO DE  TECHO DE PATIO INTERIOR DEL EDIFICIO DE LA AATE EN SAN BORJA,21130,19500,10/01/11,21/01/11,10462380092,NOLE ALARCON JORGE EDUARDO,N,10462380092,NOLE ALARCON JORGE EDUARDO,,,010232-01670518-00499929,Nº 005-2011-MTC/33.2,11/01/11,18/01/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1670518144246253rad02CC9.doc
3,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 42 - 2010 - AATE,2,17/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE ACONDICIONAMIENTO DE  TECHO DE PATIO INTERIOR DEL EDIFICIO DE LA AATE EN SAN BORJA,21130,Soles,1,CONTRATACION DEL SERVICIO DE ACONDICIONAMIENTO DE  TECHO DE PATIO INTERIOR DEL EDIFICIO DE LA AATE EN SAN BORJA,21130,19500,10/01/11,21/01/11,10462380092,NOLE ALARCON JORGE EDUARDO,N,10462380092,NOLE ALARCON JORGE EDUARDO,,,010232-01670518-00499929,Nº 005-2011-MTC/33.2,11/01/11,18/01/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1670518144246253rad02CC9.doc
4,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 36 - 2010 - AATE,4,17/12/10,BIENES,ADQUISICION DE LAVATORIOS LAVA OJOS Y DUCHAS DE EMERGENCIAl,"26945,11",Soles,1,ADQUISICION DE LAVATORIOS LAVA OJOS Y DUCHAS DE EMERGENCIAl,"26945,11","26945,11",06/01/11,07/01/11,20131529008,SEKUR PERU S.A.,N,20131529008,SEKUR PERU S.A.,,,010232-01672746-00498782,001-2011-MTC/33.2,07/01/11,14/02/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1672746955532667radDD055.pdf
5,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 45 - 2010 - AATE,1,17/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE CONEXION PUNTO A PUNTO LOCAL ADMINISTRATIVO-MTC CERCADO,15000,Soles,1,CONTRATACION DEL SERVICIO DE CONEXION PUNTO A PUNTO LOCAL ADMINISTRATIVO-MTC CERCADO,15000,14900,01/01/11,19/01/11,20428698569,AMERICATEL PERU S.A.,N,20428698569,AMERICATEL PERU S.A.,,,010232-01673135-00499744,Nº 004-2011-MTC/33.2,01/01/11,31/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1673135789526499radA1C1F.doc
6,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 44 - 2010 - AATE,1,17/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE ACCESO DEDICADO A INTERNET,21590,Soles,1,CONTRATACION DEL SERVICIO DE  ACCESO DEDICADO A INTERNET,21590,21000,06/01/11,19/01/11,20428698569,AMERICATEL PERU S.A.,N,20428698569,AMERICATEL PERU S.A.,,,010232-01673176-00499742,Nº 003-2011-MTC/33.2,01/01/11,31/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1673176789526499rad73306.doc
7,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 44 - 2010 - AATE,1,21/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE ACCESO DEDICADO A INTERNET,21590,Soles,1,CONTRATACION DEL SERVICIO DE  ACCESO DEDICADO A INTERNET,21590,21000,06/01/11,19/01/11,20428698569,AMERICATEL PERU S.A.,N,20428698569,AMERICATEL PERU S.A.,,,010232-01673176-00499742,Nº 003-2011-MTC/33.2,01/01/11,31/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1673176789526499rad73306.doc
8,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 48 - 2010 - AATE,1,28/12/10,SERVICIOS,SERVICIO DE MANTENIMIENTO PREVENTIVO DE LA LINEA DE 60 Kv (L-720),"20526,68",Soles,1,SERVICIO DE MANTENIMIENTO PREVENTIVO DE LA LINEA DE 60 Kv (L-720),"20526,68","20526,68",12/01/11,27/01/11,20297241304,INVERPO S.A.,N,20297241304,INVERPO S.A.,,,010232-01677229-00500471,Nº 006-2011-MTC/33.2,13/01/11,24/01/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1677229141819167rad41DDE.pdf
9,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 4 - 2010 - AATE,1,30/12/10,SERVICIOS,"ELABORACION DEL PROYECTO REDES DE ACCESIBILIDAD PEATONAL EN EL ENTORNO DE LAS ESTACIONES DE LA LINEA 1, VILLA EL SALVADOR - AV GRAU","413326,67",Soles,1,"ELABORACION DEL PROYECTO REDES DE ACCESIBILIDAD PEATONAL EN EL ENTORNO DE LAS ESTACIONES DE LA LINEA 1, VILLA EL SALVADOR - AV GRAU","413326,67",368868,21/03/11,21/03/11,C0001873190,CONSORCIO ESTACIONES TREN ELÉCTRICO,S,20514169889,P&K CONSULTORES SOCIEDAD ANONIMA CERRADA - P&K CONSULTORES S.A.C.,20100913225,JNR CONSULTORES SOCIEDAD ANONIMA,010232-01678611-00506209,009-2011-MTC/33.2,21/03/11,21/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1678611944722314radCCDF3.pdf
10,SEACE 2,2010,20522773451,AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 4 - 2010 - AATE,1,30/12/10,SERVICIOS,"ELABORACION DEL PROYECTO REDES DE ACCESIBILIDAD PEATONAL EN EL ENTORNO DE LAS ESTACIONES DE LA LINEA 1, VILLA EL SALVADOR - AV GRAU","413326,67",Soles,1,"ELABORACION DEL PROYECTO REDES DE ACCESIBILIDAD PEATONAL EN EL ENTORNO DE LAS ESTACIONES DE LA LINEA 1, VILLA EL SALVADOR - AV GRAU","413326,67",368868,21/03/11,21/03/11,C0001873190,CONSORCIO ESTACIONES TREN ELÉCTRICO,S,20514169889,P&K CONSULTORES SOCIEDAD ANONIMA CERRADA - P&K CONSULTORES S.A.C.,20514169889,P&K CONSULTORES SOCIEDAD ANONIMA CERRADA - P&K CONSULTORES S.A.C.,010232-01678611-00506209,009-2011-MTC/33.2,21/03/11,21/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\10232\1678611944722314radCCDF3.pdf
