N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2004,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA PUBLICA,ADP - 1 - 2004 - SPUR-CORPAC S.A.,2,07/04/05,SERVICIOS EN GENERAL,Limpieza integral de las instalaciones del Aeropuerto De Piura,132000,Soles,1,Limpieza integral de las instalaciones del Aeropuerto De Piura,132000,127923,04/09/15,04/09/15,20101657923,SANIDAD Y LIMPIEZA INDUSTRIAL PERUANA S.A.C.,N,20101657923,SANIDAD Y LIMPIEZA INDUSTRIAL PERUANA S.A.C.,,,002418-00131621-00962064,SPUR-0001-2005-P.S.,04/09/15,05/09/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\2418\13162104092015115543.pdf
2,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20282037999,EMPRESA DE SERVICIOS GENERALES DELTA S.A.C.,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
3,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20282037999,EMPRESA DE SERVICIOS GENERALES DELTA S.A.C.,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
4,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20282037999,EMPRESA DE SERVICIOS GENERALES DELTA S.A.C.,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
5,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20452467284,HORIZONTE SERVICIOS GENERALES S.A.C.,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
6,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20452467284,HORIZONTE SERVICIOS GENERALES S.A.C.,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
7,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20452467284,HORIZONTE SERVICIOS GENERALES S.A.C.,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
8,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20453564348,COMPAÑIA DE VIGILANCIA Y SEGURIDAD SRL,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
9,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20453564348,COMPAÑIA DE VIGILANCIA Y SEGURIDAD SRL,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
10,SEACE 2,2010,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 11 - 2010 - CORPAC S.A.,1,31/08/10,SERVICIOS,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82",Soles,1,"Oficiales de Seguridad Aeroportuaria para las Sedes Zona Norte, Zona Oriente y Zona Sur","1913038,82","1913032,89",16/02/11,02/03/11,C0001870033,"WORLD SECURITY AND SERVICES, HORIZONTE SERVICIOS GENERALES, COVISER, SEGURIDAD Y VIGILANCIA APOLO, MAYO SERVICE Y SERVICIOS GENERALES DELTA",S,20528026100,WORLD SECURITY AND SERVICES S.A.C.,20453564348,COMPAÑIA DE VIGILANCIA Y SEGURIDAD SRL,002418-01604683-00503828,G.L.011.2011.P.S,17/02/11,02/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2418\1604683670542162rad12F53.pdf
