N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 10 - 2010 - ADS/B,1,01/12/10,BIENES,ADQUISICION DE VESTUARIO,"219098,26",Soles,1,POLOS PIQUE,"49014,66","44046,21",12/01/11,02/03/11,20429766444,INVERS. TEXTILES & AFINES DEL PERU SCRL.,N,20429766444,INVERS. TEXTILES & AFINES DEL PERU SCRL.,,,002437-01661540-00504026,003-2011,12/01/11,12/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2437\1661540884432427radCB53E.pdf
2,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 10 - 2010 - ADS/B,1,01/12/10,BIENES,ADQUISICION DE VESTUARIO,"219098,26",Soles,2,BLUSAS,"22482,5",11791,12/01/11,02/03/11,20523632419,MANUFACTURAS TOTTI S.A.C.,N,20523632419,MANUFACTURAS TOTTI S.A.C.,,,002437-01661540-00504027,04-2011,12/01/11,10/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2437\1661540884432427rad286DA.pdf
3,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 10 - 2010 - ADS/B,1,01/12/10,BIENES,ADQUISICION DE VESTUARIO,"219098,26",Soles,3,CASACAS,32342,21998,12/01/11,02/03/11,20523632419,MANUFACTURAS TOTTI S.A.C.,N,20523632419,MANUFACTURAS TOTTI S.A.C.,,,002437-01661540-00504027,04-2011,12/01/11,10/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2437\1661540884432427rad286DA.pdf
4,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 10 - 2010 - ADS/B,1,01/12/10,BIENES,ADQUISICION DE VESTUARIO,"219098,26",Soles,4,PANTALONES,"34791,1",23899,12/01/11,02/03/11,20523632419,MANUFACTURAS TOTTI S.A.C.,N,20523632419,MANUFACTURAS TOTTI S.A.C.,,,002437-01661540-00504027,04-2011,12/01/11,10/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2437\1661540884432427rad286DA.pdf
5,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 10 - 2010 - ADS/B,1,01/12/10,BIENES,ADQUISICION DE VESTUARIO,"219098,26",Soles,5,CHALECOS GUARDAPOLVOS,48218,36389,12/01/11,02/03/11,20523632419,MANUFACTURAS TOTTI S.A.C.,N,20523632419,MANUFACTURAS TOTTI S.A.C.,,,002437-01661540-00504027,04-2011,12/01/11,10/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2437\1661540884432427rad286DA.pdf
6,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 10 - 2010 - ADS/B,1,01/12/10,BIENES,ADQUISICION DE VESTUARIO,"219098,26",Soles,6,MALETINES,32250,25900,11/01/11,02/03/11,C0001860183,JAROMI CORPORATION S.A.C. E INDUSTRIA ESTRELLA AZUL E.I.R.L.,S,20515669125,JAROMI CORPORATION SOCIEDAD ANONIMA CERRADA,20329985777,INDUSTRIA ESTRELLA AZUL E.I.R.L.,002437-01661540-00504024,2,12/01/11,11/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2437\1661540884432427rad2B1C8.pdf
7,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 10 - 2010 - ADS/B,1,01/12/10,BIENES,ADQUISICION DE VESTUARIO,"219098,26",Soles,6,MALETINES,32250,25900,11/01/11,02/03/11,C0001860183,JAROMI CORPORATION S.A.C. E INDUSTRIA ESTRELLA AZUL E.I.R.L.,S,20515669125,JAROMI CORPORATION SOCIEDAD ANONIMA CERRADA,20515669125,JAROMI CORPORATION SOCIEDAD ANONIMA CERRADA,002437-01661540-00504024,2,12/01/11,11/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\2437\1661540884432427rad2B1C8.pdf
8,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 2 - 2010 - SERPOST S.A.,1,03/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,"732526,36",Soles,1,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,"732526,36","625191,52",03/03/11,11/01/12,20467534026,AMERICA MOVIL PERU S.A.C.,N,20467534026,AMERICA MOVIL PERU S.A.C.,,,002437-01663802-00557579,005-2011,04/03/11,04/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2437\1663802656635431radF3F13.pdf
9,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 2 - 2010 - SERPOST S.A.,1,03/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,"732526,36",Soles,1,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,"732526,36","625191,52",03/03/11,11/01/12,20467534026,AMERICA MOVIL PERU S.A.C.,N,20467534026,AMERICA MOVIL PERU S.A.C.,,,002437-01663802-00557579,005-2011,04/03/11,04/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2437\1663802656635431radF3F13.pdf
10,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 2 - 2010 - SERPOST S.A.,1,03/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,"732526,36",Soles,1,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,"732526,36","625191,52",03/03/11,11/01/12,20467534026,AMERICA MOVIL PERU S.A.C.,N,20467534026,AMERICA MOVIL PERU S.A.C.,,,002437-01663802-00557579,005-2011,04/03/11,04/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2437\1663802656635431radF3F13.pdf
11,SEACE 2,2010,20256136865,SERVICIOS POSTALES DEL PERU S.A.,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 2 - 2010 - SERPOST S.A.,1,03/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,"732526,36",Soles,1,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,"732526,36","625191,52",03/03/11,11/01/12,20467534026,AMERICA MOVIL PERU S.A.C.,N,20467534026,AMERICA MOVIL PERU S.A.C.,,,002437-01663802-00557579,005-2011,04/03/11,04/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2437\1663802656635431radF3F13.pdf
