N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",SUBASTA INVERSA ELECTRONICA,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2014 - SUTRAN/06.1,1,20/05/14,BIENES,CONTRATACION DEL SUMINISTRO DE COMBUSTIBLE TIPO DIESEL B5 PARA LA ESTACION DE PESAJE PIURA,"161582,4",Soles,1,CONTRATACION DEL SUMINISTRO DE PETROLEO DIESEL B5,"161582,4",160650,13/06/14,17/11/14,20175642341,ESTACION DE SERVICIOS SAN JOSE S.A.C.,N,20175642341,ESTACION DE SERVICIOS SAN JOSE S.A.C.,,,200340-00014919-00887527,012-2014-SUTRAN,14/06/14,13/06/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200340\3126322327330797rad53596.pdf
2,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA PUBLICA,ADP - 1 - 2014 - SUTRAN/06.1,1,20/05/14,SERVICIOS,CONTRATACION DEL SERVICIO DE AGENCIAMIENTO DE PASAJES AEREOS NACIONALES,"346697,17",Soles,1,CONTRATACION DEL SERVICIO DE AGENCIAMIENTO DE PASAJES AEREOS NACIONALES,"346697,17","346645,8",26/06/14,17/11/14,20100999430,DOMIRUTH TRAVEL SERVICE S.A.C,N,20100999430,DOMIRUTH TRAVEL SERVICE S.A.C,,,200340-00014920-00887551,016-2014-SUTRAN,27/06/14,26/06/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200340\3139339327330797rad28030.pdf
3,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 8 - 2014 - SUTRAN/06.1,1,16/06/14,SERVICIOS,ALQUILER DE INMUEBLE PARA LA OFICINA ADMINISTRATIVA DE LA REGION AREQUIPA DE LA SUB DIRECCION DE FISCALIZACION DE SERVICIOS DE TRANSPORTES DE LA SUTRAN,24000,Soles,1,ALQUILER DE INMUEBLE PARA LA OFICINA ADMINISTRATIVA DE LA REGION AREQUIPA DE LA SUB DIRECCION DE SERVICIOS DE TRANSPORTES DE LA SUTRAN,24000,24000,30/07/14,17/09/15,10004027391,ALIAGA DE COAQUERA BONIFACIA JUSTINA,N,10004027391,ALIAGA DE COAQUERA BONIFACIA JUSTINA,,,200340-00018505-00966653,002-2014-SUTRAN-AI,30/07/14,30/06/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\200340\3152347398888756radF57AD.pdf
4,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA PUBLICA,ADP - 2 - 2014 - SUTRAN/06.1,1,15/07/14,SERVICIOS,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"286204,97",Soles,1,CONTRATACION DEL SERVICIO DE SEGURIDAD Y VIGILANCIA,"286204,97","250100,04",27/08/14,13/11/14,20515432974,RELIABLE SECURITY SOCIEDAD ANONIMA CERRADA,N,20515432974,RELIABLE SECURITY SOCIEDAD ANONIMA CERRADA,,,200340-00022633-00886711,021-2014-SUTRAN,28/08/14,27/08/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200340\3195561629592953rad7F565.pdf
5,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2014 - SUTRAN/06.1,1,16/07/14,SERVICIOS,CONTRATACION DEL SERVICIO DE MENSAJERIA,"2874212,55",Soles,1,CONTRATACION DEL SERVICIO DE MENSAJERIA,"2874212,55","1500981,6",02/10/14,13/11/14,20256136865,SERVICIOS POSTALES DEL PERU S.A.,N,20256136865,SERVICIOS POSTALES DEL PERU S.A.,,,200340-00022874-00886690,023-2014-SUTRAN,03/10/14,03/10/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200340\3230135629592953rad4FAA2.pdf
6,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2014 - SUTRAN/06.1,1,16/07/14,SERVICIOS,CONTRATACION DEL SERVICIO DE MENSAJERIA,"2874212,55",Soles,1,CONTRATACION DEL SERVICIO DE MENSAJERIA,"2874212,55","1073171,14",25/09/14,13/11/14,20522736504,CA & PE COURIER S.A.C.,N,20522736504,CA & PE COURIER S.A.C.,,,200340-00022874-00886660,022-2014-SUTRAN,29/09/14,29/09/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200340\3230135629592953rad8009C.pdf
7,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 2 - 2014 - SUTRAN/06.1,1,25/07/14,SERVICIOS,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL (PERIODO 2014 - 2015),669600,Soles,1,CONTRATACION DEL SERVICIO DE TELEFONIA MOVIL,669600,669600,05/12/14,19/12/14,20100017491,TELEFONICA DEL PERU SAA,N,20100017491,TELEFONICA DEL PERU SAA,,,200340-00047381-00901618,028-2014-SUTRAN,06/12/14,05/12/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200340\3284979566543796rad135D9.PDF
8,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 7 - 2014 - SUTRAN/06.1,2,31/07/14,SERVICIOS,ALQUILER DE INMUEBLE PARA LA OFICINA ADMINISTRATIVA DE LA REGION ANCASH DE LA SUB DIRECCION DE FISCALIZACION DE SERVICIOS DE TRANSPORTES DE LA SUTRAN,22800,Soles,1,ALQUILER DE INMUEBLE PARA LA OFICINA ADMINISTRATIVA DE LA REGION ANCASH DE LA SUB DIRECCION DE FISCALIZACION DE SERVICIOS DE TRANSPORTES DE LA SUTRAN,22800,22800,07/08/14,13/10/15,10316199017,FIGUEROA CRUZ NILSA CONSUELO,N,10316199017,FIGUEROA CRUZ NILSA CONSUELO,,,200340-00027257-00974036,003-2015-SUTRAN-AI,08/08/14,08/08/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\200340\3189042568211729radB2C7E.pdf
9,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,LICITACION PUBLICA,LP - 3 - 2014 - SUTRAN/06.1,1,04/09/14,BIENES,"ADQUISICION DE INDUMENTARIA PARA INSPECTORES DE LA SUTRAN, PARA EL FORTALECIMIENTO DE LA FISCALIZACIÓN DEL SERVICIO DE TRANSPORTE TERRESTRE DE PERSONAS Y DE MERCANCIAS",525212,Soles,6,CHOMPA JORGE CHAVEZ,23976,23970,29/10/14,05/12/14,20545911362,INVERSIONES BRI S.A.C,N,20545911362,INVERSIONES BRI S.A.C,,,200340-00032770-00895383,024-2014-SUTRAN,30/10/14,02/01/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200340\3258450293381975rad7F4E7.PDF
10,SEACE 3,2014,20536902385,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS",PROCEDIMIENTO CLASICO,LICITACION PUBLICA,LP - 3 - 2014 - SUTRAN/06.1,1,04/09/14,BIENES,"ADQUISICION DE INDUMENTARIA PARA INSPECTORES DE LA SUTRAN, PARA EL FORTALECIMIENTO DE LA FISCALIZACIÓN DEL SERVICIO DE TRANSPORTE TERRESTRE DE PERSONAS Y DE MERCANCIAS",525212,Soles,10,MITONES - GUANTES DE LANA,12654,"12587,4",29/10/14,05/12/14,20545911362,INVERSIONES BRI S.A.C,N,20545911362,INVERSIONES BRI S.A.C,,,200340-00032770-00895383,024-2014-SUTRAN,30/10/14,02/01/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200340\3258450293381975rad7F4E7.PDF
