N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,DECRETO DE URGENCIA N° 078-2009 (ADJUDICACION DIRECTA),DU 078 2009 (AD) - 3 - 2010 - SERVIR,1,22/10/10,SERVICIOS,CONTRATACION DE PROGRAMA DE CAPACITACION EN POLITICAS PUBLICAS,120000,Soles,1,CONTRATACION DE PROGRAMA DE CAPACITACION EN POLITICAS PUBLICAS,120000,108000,04/02/11,16/02/11,20138149022,UNIVERSIDAD DE SAN MARTIN DE PORRES,N,20138149022,UNIVERSIDAD DE SAN MARTIN DE PORRES,,,200257-01635868-00502276,11-2010-servir,04/02/11,31/08/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1635868461886096rad5B022.pdf
2,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,DECRETO DE URGENCIA N° 078-2009 (ADJUDICACION DIRECTA),DU 078 2009 (AD) - 3 - 2010 - SERVIR,1,22/10/10,SERVICIOS,CONTRATACION DE PROGRAMA DE CAPACITACION EN POLITICAS PUBLICAS,120000,Soles,1,CONTRATACION DE PROGRAMA DE CAPACITACION EN POLITICAS PUBLICAS,120000,108000,04/02/11,16/02/11,20138149022,UNIVERSIDAD DE SAN MARTIN DE PORRES,N,20138149022,UNIVERSIDAD DE SAN MARTIN DE PORRES,,,200257-01635868-00502276,11-2010-servir,04/02/11,31/08/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1635868461886096rad5B022.pdf
3,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 18 - 2010 - SERVIR,1,13/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE AUDITORIA DE IMAGEN PARA LA AUTORIDAD NACIONAL DEL SERVICIO CIVIL,133756,Soles,1,CONTRATACION DEL SERVICIO DE AUDITORIA DE IMAGEN PARA LA AUTORIDAD NACIONAL DEL SERVICIO CIVIL,133756,133756,04/02/11,16/02/11,20260497414,IPSOS APOYO OPINION Y MERCADO S.A.,N,20260497414,IPSOS APOYO OPINION Y MERCADO S.A.,,,200257-01669119-00502281,02-2011-SERVIR,04/02/11,28/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1669119461886096rad78F3E.pdf
4,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2010 - SERVIR,1,14/12/10,SERVICIOS,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,Soles,1,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,69000,04/02/11,16/02/11,C0001866460,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,S,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,200257-01670407-00502277,01-2011,04/02/11,14/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1670407461886096radA486D.pdf
5,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2010 - SERVIR,1,14/12/10,SERVICIOS,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,Soles,1,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,69000,04/02/11,16/02/11,C0001866460,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,S,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,200257-01670407-00502277,01-2011,04/02/11,14/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1670407461886096radA486D.pdf
6,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2010 - SERVIR,1,14/12/10,SERVICIOS,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,Soles,1,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,69000,04/02/11,16/02/11,C0001866460,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,S,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,200257-01670407-00502277,01-2011,04/02/11,14/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1670407461886096radA486D.pdf
7,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2010 - SERVIR,1,14/12/10,SERVICIOS,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,Soles,1,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,69000,04/02/11,16/02/11,C0001866460,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,S,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,20521668378,OPTICAL  NETWORKS S.A.C.,200257-01670407-00502277,01-2011,04/02/11,14/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1670407461886096radA486D.pdf
8,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2010 - SERVIR,1,14/12/10,SERVICIOS,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,Soles,1,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,69000,04/02/11,16/02/11,C0001866460,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,S,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,20521668378,OPTICAL  NETWORKS S.A.C.,200257-01670407-00502277,01-2011,04/02/11,14/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1670407461886096radA486D.pdf
9,SEACE 2,2010,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2010 - SERVIR,1,14/12/10,SERVICIOS,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,Soles,1,Contratacion del servicio de internet para la Autoridad Nacional del Servicio Civil - SERVIR,69044,69000,04/02/11,16/02/11,C0001866460,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,S,20503895537,OPTICAL IP SERVICIOS MULTIMEDIA S.A.,20521668378,OPTICAL  NETWORKS S.A.C.,200257-01670407-00502277,01-2011,04/02/11,14/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1670407461886096radA486D.pdf
10,SEACE 2,2011,20477906461,AUTORIDAD NACIONAL DEL SERVICIO CIVIL,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - SERVIR,1,11/02/11,SERVICIOS,SERVICIO DE ALQUILER DE INMUEBLE PARA EL TRIBUNAL DEL SERVICIO CIVIL,26656,Soles,1,SERVICIO DE ALQUILER DE INMUEBLE PARA EL TRIBUNAL DEL SERVICIO CIVIL,26656,26656,17/02/11,23/02/11,20101790411,VERVEL S A,N,20101790411,VERVEL S A,,,200257-01686656-00502865,003-2011-SERVIR,21/02/11,20/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200257\1686656673197059rad5C5FB.pdf
