N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 9 - 2010 - CEPLAN,1,20/12/10,SERVICIOS,"SERVICIO DE IMPRESION DEL DOCUMENTO DE TRABAJO LA HORA DE LA IGUALDAD: BRECHAS POR CERRAR, CAMINOS POR ABRIR",64500,Soles,1,SERVICIO DE IMPRESION DEL DOCUMENTO DE TRABAJO LA HORA DE L,64500,"45359,5",27/01/11,04/03/11,20143229816,EMPRESA EDITORA EL COMERCIO S.A.,N,20143229816,EMPRESA EDITORA EL COMERCIO S.A.,,,200263-01673813-00504368,NRO. 001-2011-CEPLAN,27/01/11,28/02/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\167381324986358rad9511C.pdf
2,SEACE 2,2010,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 1 - 2010 - CEPLAN,1,29/12/10,SERVICIOS,SERVICIO DE ARRENDAMIENTO PARA SEDE DE CEPLAN,"408432,57",Soles,1,SERVICIO DE ARRENDAMIENTO PARA SEDE DE CEPLAN,"408432,57","397564,75",03/01/11,25/04/11,20100128218,PETROLEOS DEL PERU S.A.,N,20100128218,PETROLEOS DEL PERU S.A.,,,200263-01677781-00510688,S/N,03/01/11,31/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1677781661509570rad47081.pdf
3,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - CEPLAN,1,25/02/11,BIENES,ADQUISICION DE COMPUTADORAS PORTATILES CON PANTALLA TACTIL Y QUE INCLUYAN POSIBILIDADES DE COMUNICACION A REDES WIFI Y 3G,15217,Soles,1,ADQUISICION DE EQUIPOS IPAD,15217,14995,10/03/11,22/03/11,20386186872,MERCADO ELECTRONICO S.A.C.,N,20386186872,MERCADO ELECTRONICO S.A.C.,,,200263-01691157-00506374,009-2011,10/03/11,31/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\169115785046538rad62986.pdf
4,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - CEPLAN,1,03/03/11,BIENES,ADQUISICION DE COMPUTADORAS PORTATILES CON PANTALLA TACTIL Y QUE INCLUYAN POSIBILIDADES DE COMUNICACION A REDES WIFI Y 3G,15217,Soles,1,ADQUISICION DE EQUIPOS IPAD,15217,14995,10/03/11,22/03/11,20386186872,MERCADO ELECTRONICO S.A.C.,N,20386186872,MERCADO ELECTRONICO S.A.C.,,,200263-01691157-00506374,009-2011,10/03/11,31/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\169115785046538rad62986.pdf
5,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2011 - CEPLAN,1,03/03/11,BIENES,ADQUISICION DE COMPUTADORAS PORTATILES CON PANTALLA TACTIL Y QUE INCLUYAN POSIBILIDADES DE COMUNICACION A REDES WIFI Y 3G,15217,Soles,1,ADQUISICION DE EQUIPOS IPAD,15217,14995,10/03/11,22/03/11,20386186872,MERCADO ELECTRONICO S.A.C.,N,20386186872,MERCADO ELECTRONICO S.A.C.,,,200263-01691157-00506374,009-2011,10/03/11,31/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\169115785046538rad62986.pdf
6,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - CEPLAN,1,03/03/11,SERVICIOS,"DESARROLLO E IMPLEMENTACION DEL MODULO SINPLE  SISTEMA  NACIONAL DE PLANES ESTRATEGICOS PARA LOS PLANES DE DESARROLLO NACIONAL DE LARGO PLAZO, PLAN BICENTENARIO Y MEDIANO PLAZO.",39000,Soles,1,DESARROLLO E IMPLEMENTACION DEL MODULO SINPLE,39000,39000,18/03/11,19/04/11,20514532711,DATA LAND PERU S.A.C,N,20514532711,DATA LAND PERU S.A.C,,,200263-01693467-00510261,02-2011-CEPLAN,18/03/11,16/06/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1693467638390192rad32348.pdf
7,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2011 - CEPLAN,1,11/03/11,SERVICIOS,ADQUISICION DE PASAJES AEREOS,123138,Soles,1,ADQUISICION DE PASAJES AEREOS,123138,"34995,14",03/05/11,09/05/11,20388307677,CUARZO TRAVEL S.R.LTDA,N,20388307677,CUARZO TRAVEL S.R.LTDA,,,200263-01697130-00512441,010-2011-CEPLAN,04/05/11,03/05/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\16971301064831281rad139F7.pdf
8,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 4 - 2011 - CEPLAN,1,11/03/11,SERVICIOS,"CONSULTORIA PARA IDENTIFICAR OBJETIVOS ESPECIFICOS, PRIORIDADES, ACCIONES ESTRATEGICAS Y METAS AL 2016 PARA EL PLAN BICENTENARIO NIVEL PROFESIONALES","38714,25",Soles,1,CONSULTORIA PARA IDENTIFICAR OBJETIVOS ESPECIFICOS,"38714,25",38500,25/04/11,27/04/11,20502424557,IDICE DEL PERU S.A.C.,N,20502424557,IDICE DEL PERU S.A.C.,,,200263-01697188-00511179,N° 03-2011-CEPLAN,25/04/11,25/05/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1697188986477429rad74AED.pdf
9,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 5 - 2011 - CEPLAN,1,16/03/11,SERVICIOS,"CONSULTORIA PARA IDENTIFICAR OBJETIVOS ESPECIFICOS, PRIORIDADES, ACCIONES ESTRATEGICAS Y METAS AL 2016 PARA EL PLAN BICENTENARIO NIVEL TRABAJADORES TECNICOS.","36589,25",Soles,1,ENCUESTA TRABAJADORES TECNICOS,"36589,25",36500,26/04/11,27/04/11,20502424557,IDICE DEL PERU S.A.C.,N,20502424557,IDICE DEL PERU S.A.C.,,,200263-01699026-00511189,N° 04-2011-CEPLAN,26/04/11,20/05/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1699026986477429rad44942.pdf
10,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,SUBASTA INVERSA ELECTRONICA,MENOR CUANTIA,AMC - 3 - 2011 - CEPLAN,2,17/03/11,BIENES,ADQUISICION DE COMBUSTIBLE,"24522,75",Soles,1,ADQUISICION DE COMBUSTIBLE,"24522,75","24491,25",25/04/11,27/04/11,20100032881,ABA SINGER & CIA. S.A.C.,N,20100032881,ABA SINGER & CIA. S.A.C.,,,200263-01699840-00511174,N° 09-2011-CEPLAN,25/04/11,24/04/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1699840986477429radE6E4D.pdf
11,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 6 - 2011 - CEPLAN,1,21/03/11,SERVICIOS,SERVICIO DE IMPRESION DEL DOCUMENTO EVOLUCION SOCIOECONOMICA DEL PERU 1990-2010,"25569,7",Soles,1,IMPRESION DE DOCUMENTOS,"25569,7","19234,69",26/04/11,09/05/11,20469820531,CECOSAMI PREPRENSA E IMPRESION DIGITAL S A,N,20469820531,CECOSAMI PREPRENSA E IMPRESION DIGITAL S A,,,200263-01701214-00512419,07-2011-CEPLAN,27/04/11,05/05/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\17012141064831281rad61877.pdf
12,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 7 - 2011 - CEPLAN,1,22/03/11,SERVICIOS,APLICACION DE LA ENCUESTA A EMPRESARIOS PARA DEFINIR LOS REQUERIMIENTOS DE CAPITAL HUMANO EN LAS AREAS DE INNOVACION,"37462,1",Soles,1,CONSULTORIA ENCUESTAS,"37462,1",28320,26/04/11,12/05/11,20457836776,DIRECTO PERU S.A.C.,N,20457836776,DIRECTO PERU S.A.C.,,,200263-01702018-00513141,05-2011-CEPLAN,27/04/11,22/06/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1702018565814958radBEEDB.pdf
13,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 8 - 2011 - CEPLAN,1,22/03/11,SERVICIOS,DESARROLLO E IMPLEMENTACION DEL MODULO SINPLE - SISTEMA NACIONAL DE PLANES ESTRATEGICOS  PARA EL PLAN ESTRATEGICO SECTORIAL MULTIANUAL,39900,Soles,1,CONSULTORIA MODULO SINPLE,39900,38900,28/04/11,09/05/11,20510496168,CEL SAT (PERU).COM S.A.C.,N,20510496168,CEL SAT (PERU).COM S.A.C.,,,200263-01701669-00512412,06-2011-CEPLAN,29/04/11,27/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\17016691064831281rad4EDDC.pdf
14,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2011 - CEPLAN,1,22/03/11,BIENES,ADQUISICION DE TONER,"48274,58",Soles,1,ADQUISICION DE TONER,"48274,58","42057,08",27/04/11,27/04/11,20522419282,CLICK OFFICE S.A.C.,N,20522419282,CLICK OFFICE S.A.C.,,,200263-01701846-00511210,N° 08-2011-CEPLAN,27/04/11,30/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1701846986477429rad62D78.pdf
15,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - CEPLAN,1,01/07/11,SERVICIOS,Servicio de impresion de la version final del plan Bicentenario: El Peru hacia el 2021.,89917,Soles,1,Servicio de impresion de la version final del plan Bicentenario: El Peru hacia el 2021.,89917,"66127,2",04/08/11,15/08/11,20304411687,PUNTO & GRAFIA S.A.C.,N,20304411687,PUNTO & GRAFIA S.A.C.,,,200263-01751998-00527227,012-2011-CEPLAN,05/08/11,30/09/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1751998202634916rad3D5BF.pdf
16,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2011 - CEPLAN,1,07/07/11,SERVICIOS,SERVICIO DE MENSAJERIA,"63875,07",Soles,1,"Servicio de mensajeria local, nacional e internacional","63875,07",63552,03/08/11,15/08/11,20387377167,MACRO POST S.A.C.,N,20387377167,MACRO POST S.A.C.,,,200263-01755175-00527211,011-2011-CEPLAN,04/08/11,03/08/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1755175202634916rad29A27.pdf
17,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 10 - 2011 - CEPLAN,1,04/08/11,BIENES,ADQUISICION DE SOFTWARE ORACLE,23600,Soles,1,ADQUISICION DE SOFTWARE,23600,22280,24/08/11,25/08/11,20525075371,REDPARTNER PERU S.A.C.,N,20525075371,REDPARTNER PERU S.A.C.,,,200263-01769692-00528946,025-2011-CEPLAN,25/08/11,05/09/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1769692724770382rad104E2.pdf
18,SEACE 2,2011,20520594451,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO - CEPLAN,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 10 - 2011 - CEPLAN,1,12/08/11,BIENES,ADQUISICION DE SOFTWARE ORACLE,23600,Soles,1,ADQUISICION DE SOFTWARE,23600,22280,24/08/11,25/08/11,20525075371,REDPARTNER PERU S.A.C.,N,20525075371,REDPARTNER PERU S.A.C.,,,200263-01769692-00528946,025-2011-CEPLAN,25/08/11,05/09/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\200263\1769692724770382rad104E2.pdf
