N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 1 - 2014 - PCM-CONABI,1,11/07/14,SERVICIOS,SERVICIO DE ARRENDAMIENTO DE OFICINAS PARA LA SEDE DE LA UNIDAD EJECUTORA 015 COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,"36429,2",Soles,1,SERVICIO DE ARRENDAMIENTO DE OFICINAS PARA LA UE 015 CONABI,"36429,2",33630,21/07/14,22/08/14,20544505671,VISION ARQUITECTONICA S.A.C.,N,20544505671,VISION ARQUITECTONICA S.A.C.,,,200764-03163008-00859113,001-2014-PCM-CONABI,22/07/14,21/08/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200764\3163008999233465radC5243.pdf
2,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2014 - PCM-CONABI,1,06/11/14,BIENES,ADQUISICION DE UN SERVIDOR,"36691,84",Soles,1,ADQUISICION DE UN SERVIDOR,"36691,84",36650,20/11/14,20/11/14,10082701236,BIONDI BOTTI ILONA ANGELICA,N,10082701236,BIONDI BOTTI ILONA ANGELICA,,,200764-03272612-00889038,47,21/11/14,24/11/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200764\3272612742357251rad19F52.pdf
3,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2014 - PCM-CONABI,1,19/11/14,BIENES,ADQUISICION DE SOFTWARE DE GESTION OPERATIVA PARA LA CONABI,199600,Soles,1,ADQUISICION DE SOFTWARE DE GESTION OPERATIVA PARA LA CONABI,199600,199600,15/12/14,17/12/14,20509158593,BPM PERU & CONSULTING S.A.C.,N,20509158593,BPM PERU & CONSULTING S.A.C.,,,200764-03281536-00899940,03,16/12/14,20/12/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200764\328153681207703radC1B16.pdf
4,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2014 - PCM-CONABI,1,19/11/14,SERVICIOS,ELABORACION DE PROGRAMAS INFORMATICOS,"199963,33",Soles,1,ELABORACION DE PROGRAMAS INFORMATICOS,"199963,33",199960,11/12/14,17/12/14,20509158593,BPM PERU & CONSULTING S.A.C.,N,20509158593,BPM PERU & CONSULTING S.A.C.,,,200764-03281578-00899896,02,12/12/14,21/12/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200764\328157881207703rad37702.pdf
5,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2014 - PCM-CONABI,1,19/11/14,BIENES,ADQUISICION DE SOFTWARE DE DESARROLLO PARA LA AUTOMATIZACION DE PROCESOS,200000,Soles,1,ADQUISICION DE SOFTWARE DE DESARROLLO PARA LA AUTOMATIZACION DE PROCESOS,200000,180000,30/12/14,31/12/14,20509158593,BPM PERU & CONSULTING S.A.C.,N,20509158593,BPM PERU & CONSULTING S.A.C.,,,200764-03281530-00907624,04-2014-PCM-CONABI,31/12/14,02/01/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2014\200764\3281530543861924rad39229.pdf
6,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2014 - PCM-CONABI,1,26/11/14,SERVICIOS,SERVICIO DE LIMPIEZA INTEGRAL PARA LA SEDE CENTRAL DE LA CONABI,"79356,34",Soles,1,SERVICIO DE LIMPIEZA INTEGRAL PARA LA SEDE CENTRAL DE LA CONABI,"79356,34",79352,30/12/14,07/01/15,C0002769311,CONSORCIO VIALVA SERVICIOS COMPLEMENTARIOS S.R.L. - E&A SERVICIOS Y AFINES S.R.L.,S,20545888522,VIALVA SERVICIOS COMPLEMENTARIOS S.R.L.,20515448382,E&A SERVICIOS Y AFINES S.R.L.,200764-03286521-00908469,005-2014-PCM-CONABI,01/01/15,31/07/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\200764\3286521538022837rad479F9.pdf
7,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2014 - PCM-CONABI,1,26/11/14,SERVICIOS,SERVICIO DE LIMPIEZA INTEGRAL PARA LA SEDE CENTRAL DE LA CONABI,"79356,34",Soles,1,SERVICIO DE LIMPIEZA INTEGRAL PARA LA SEDE CENTRAL DE LA CONABI,"79356,34",79352,30/12/14,07/01/15,C0002769311,CONSORCIO VIALVA SERVICIOS COMPLEMENTARIOS S.R.L. - E&A SERVICIOS Y AFINES S.R.L.,S,20545888522,VIALVA SERVICIOS COMPLEMENTARIOS S.R.L.,20545888522,VIALVA SERVICIOS COMPLEMENTARIOS S.R.L.,200764-03286521-00908469,005-2014-PCM-CONABI,01/01/15,31/07/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\200764\3286521538022837rad479F9.pdf
8,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2014 - PCM-CONABI,1,15/12/14,SERVICIOS,SERVICIO DE SEGURIDAD Y VIGILANCIA PARTICULAR PARA LA SEDE DE LA CONABI,611909,Soles,1,SERVICIO DE SEGURIDAD Y VIGILANCIA PARTICULAR PARA LA SEDE DE LA CONABI,611909,"532200,8",18/02/15,24/02/15,C0002780960,CONSORCIO SEIPSA S.A.C - SECURITY COMPANY S.A.C.,S,20544382498,SECURITY COMPANY SOCIEDAD ANONIMA CERRADA - SECURITY COMPANY S.A.C.,20521229617,SEIPSA SOCIEDAD ANONIMA CERRADA,200764-03299338-00914991,002-2015-PCM-CONABI,19/02/15,18/12/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\200764\3299338656148989rad86813.pdf
9,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2014 - PCM-CONABI,1,15/12/14,SERVICIOS,SERVICIO DE SEGURIDAD Y VIGILANCIA PARTICULAR PARA LA SEDE DE LA CONABI,611909,Soles,1,SERVICIO DE SEGURIDAD Y VIGILANCIA PARTICULAR PARA LA SEDE DE LA CONABI,611909,"532200,8",18/02/15,24/02/15,C0002780960,CONSORCIO SEIPSA S.A.C - SECURITY COMPANY S.A.C.,S,20544382498,SECURITY COMPANY SOCIEDAD ANONIMA CERRADA - SECURITY COMPANY S.A.C.,20521229617,SEIPSA SOCIEDAD ANONIMA CERRADA,200764-03299338-00914991,002-2015-PCM-CONABI,19/02/15,18/12/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\200764\3299338656148989rad86813.pdf
10,SEACE 2,2014,20556150983,COMISION NACIONAL DE BIENES INCAUTADOS - CONABI,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2014 - PCM-CONABI,1,15/12/14,SERVICIOS,SERVICIO DE SEGURIDAD Y VIGILANCIA PARTICULAR PARA LA SEDE DE LA CONABI,611909,Soles,1,SERVICIO DE SEGURIDAD Y VIGILANCIA PARTICULAR PARA LA SEDE DE LA CONABI,611909,"532200,8",18/02/15,24/02/15,C0002780960,CONSORCIO SEIPSA S.A.C - SECURITY COMPANY S.A.C.,S,20544382498,SECURITY COMPANY SOCIEDAD ANONIMA CERRADA - SECURITY COMPANY S.A.C.,20544382498,SECURITY COMPANY SOCIEDAD ANONIMA CERRADA - SECURITY COMPANY S.A.C.,200764-03299338-00914991,002-2015-PCM-CONABI,19/02/15,18/12/15,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2015\200764\3299338656148989rad86813.pdf
