N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2011 - DINI,1,04/03/11,SERVICIOS,SERVICIO DE CABLEADO ESTRUCTURADO - DATOS DE COBRE Y FIBRA OPTICA,"94970,88",Soles,1,SERVICIO DE CABLEADO ESTRUCTURADO - DATOS DE COBRE Y FIBRA OPTICA,"94970,88",93500,11/04/11,15/04/11,20269085828,H & S GENERAL SERVICE SOCIE DE RESP.LTDA,N,20269085828,H & S GENERAL SERVICE SOCIE DE RESP.LTDA,,,001992-01694212-00509985,003-2011-DINI,11/04/11,26/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\1694212100776712radF582B.pdf
2,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2011 - DINI,1,08/03/11,SERVICIOS,CONTRATACION DEL SEGURO VIDA LEY,"134051,5",Soles,1,CONTRATACION DEL SEGURO VIDA LEY,"134051,5","132925,02",11/04/11,18/04/11,20100041953,RIMAC INTERNACIONAL COMPAÑIA DE SEGUROS Y REASEGUROS,N,20100041953,RIMAC INTERNACIONAL COMPAÑIA DE SEGUROS Y REASEGUROS,,,001992-01695212-00510062,002-2011-LOGISTICA-OAD-DINI,01/05/11,30/04/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\1695212529481355radD4801.pdf
3,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2011 - DINI,1,08/03/11,SERVICIOS,CONTRATACION DEL SEGURO VIDA LEY,"134051,5",Soles,1,CONTRATACION DEL SEGURO VIDA LEY,"134051,5","132925,02",11/04/11,18/04/11,20100041953,RIMAC INTERNACIONAL COMPAÑIA DE SEGUROS Y REASEGUROS,N,20100041953,RIMAC INTERNACIONAL COMPAÑIA DE SEGUROS Y REASEGUROS,,,001992-01695212-00510062,002-2011-LOGISTICA-OAD-DINI,01/05/11,30/04/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\1695212529481355radD4801.pdf
4,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - DINI,1,15/03/11,BIENES,SERVIDORES PARA EL REEMPLAZO DE SISTEMA DE SEGURIDAD DE RED INSTITUCIONAL,90000,Soles,1,SERVIDORES PARA FIREWALL CHECKPOINT,60494,33100,19/04/11,25/04/11,20519865476,OK COMPUTER E.I.R.L.,N,20519865476,OK COMPUTER E.I.R.L.,,,001992-01698118-00510627,Nº 005-2011-LOGISTICA-OAD-DINI,25/04/11,08/06/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\1698118661501331rad89112.pdf
5,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - DINI,1,15/03/11,BIENES,SERVIDORES PARA EL REEMPLAZO DE SISTEMA DE SEGURIDAD DE RED INSTITUCIONAL,90000,Soles,2,SERVIDORES PARA APLICATIVO WEBSENSE,29506,22430,19/04/11,25/04/11,20505795815,OPEN NETWORK SYSTEM S.A.C.,N,20505795815,OPEN NETWORK SYSTEM S.A.C.,,,001992-01698118-00510620,Nº 004-2011-LOGISTICA-OAD-DINI,25/04/11,08/06/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\1698118661499503rad4C222.pdf
6,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - DINI,1,17/03/11,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO DE VEHICULOS,28510,Soles,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO DE VEHICULOS,28510,27600,08/04/11,13/04/11,20465371146,ASISTENCIA AUTOMOTRIZ S.A.C.,N,20465371146,ASISTENCIA AUTOMOTRIZ S.A.C.,,,001992-01699894-00509627,001-2011-LOGISTICA-OAD-DINI,09/04/11,08/04/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\1699894645287448radC6421.pdf
7,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2011 - DINI,1,28/03/11,SERVICIOS,MANTENIMIENTO Y REPARACION DE ESTRUCTURAS EN BLOQUE D,"1354455,07",Soles,1,MANTENIMIENTO Y REPARACION DE ESTRUCTURAS EN BLOQUE D,"1354455,07","1273419,32",31/05/11,02/06/11,C0001910912,CONSORCIO PACIFICO,S,20466460291,INPETEC E.I.R.L.,20401843842,INGENIERIA PARA EL DESARROLLO S.A.,001992-01704773-00516246,13-2011-LOGISTICA-OAD-DINI,01/07/11,14/08/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\17047731072308254rad08884.pdf
8,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2011 - DINI,1,28/03/11,SERVICIOS,MANTENIMIENTO Y REPARACION DE ESTRUCTURAS EN BLOQUE D,"1354455,07",Soles,1,MANTENIMIENTO Y REPARACION DE ESTRUCTURAS EN BLOQUE D,"1354455,07","1273419,32",31/05/11,02/06/11,C0001910912,CONSORCIO PACIFICO,S,20466460291,INPETEC E.I.R.L.,20466460291,INPETEC E.I.R.L.,001992-01704773-00516246,13-2011-LOGISTICA-OAD-DINI,01/07/11,14/08/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\17047731072308254rad08884.pdf
9,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2011 - DINI,1,28/03/11,SERVICIOS,MANTENIMIENTO Y REPARACION DE ESTRUCTURAS EN BLOQUE D,"1354455,07",Soles,1,MANTENIMIENTO Y REPARACION DE ESTRUCTURAS EN BLOQUE D,"1354455,07","1273419,32",31/05/11,02/06/11,C0001910912,CONSORCIO PACIFICO,S,20466460291,INPETEC E.I.R.L.,20541352547,ENERGIA  SISTEMAS Y TELECOMUNICACIONES SOCIEDAD ANONIMA,001992-01704773-00516246,13-2011-LOGISTICA-OAD-DINI,01/07/11,14/08/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\17047731072308254rad08884.pdf
10,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2011 - DINI,1,31/03/11,BIENES,ADQUISICION DE CXINTAS TINTAS Y TONERS,107570,Soles,1,TONER ORIGINAL PARA IMPRESORA HP LASER JET 5500 COD. C9730A BLACK,24120,"23770,08",17/05/11,18/05/11,20107903951,TRADING SERVICE M&A SRLTDA,N,20107903951,TRADING SERVICE M&A SRLTDA,,,001992-01706959-00513865,007-2011-LOGISTICA-OAD-DINI,17/05/11,17/05/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\1706959398366227rad0C8E0.pdf
11,SEACE 2,2011,20502628128,DIRECCION NACIONAL DE INTELIGENCIA - DINI,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 5 - 2011 - DINI,1,31/03/11,BIENES,REEMPLAZO DEL SISTEMA AUTOMATIZADO DE RESPALDO DE INFORMACION INSTITUCIONAL,"178964,7",Soles,1,REEMPLAZO DEL SISTEMA AUTOMATIZADO DE RESPALDO DE INFORMACION INSTITUCIONAL,"178964,7",178602,09/05/11,11/05/11,20505795815,OPEN NETWORK SYSTEM S.A.C.,N,20505795815,OPEN NETWORK SYSTEM S.A.C.,,,001992-01706679-00512974,011-2011-LOGISTICA-OAD-DINI,01/07/11,15/08/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1992\1706679323828468rad6BE84.doc
