N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,1,UNIFORMES PARA CABALLEROS - ADMINISTRATIVOS,"38884,61","37230,2",19/01/11,28/01/11,20348511824,SAMITEX SA,N,20348511824,SAMITEX SA,,,001977-01656825-00500610,02-2011-GAF.2/IRTP,20/01/11,11/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad899AA.doc
2,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,1,UNIFORMES PARA CABALLEROS - ADMINISTRATIVOS,"38884,61","37230,2",19/01/11,28/01/11,20348511824,SAMITEX SA,N,20348511824,SAMITEX SA,,,001977-01656825-00500610,02-2011-GAF.2/IRTP,20/01/11,11/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad899AA.doc
3,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,1,UNIFORMES PARA CABALLEROS - ADMINISTRATIVOS,"38884,61","37230,2",19/01/11,28/01/11,20348511824,SAMITEX SA,N,20348511824,SAMITEX SA,,,001977-01656825-00500610,02-2011-GAF.2/IRTP,20/01/11,11/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad899AA.doc
4,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,1,UNIFORMES PARA CABALLEROS - ADMINISTRATIVOS,"38884,61","37230,2",19/01/11,28/01/11,20348511824,SAMITEX SA,N,20348511824,SAMITEX SA,,,001977-01656825-00500610,02-2011-GAF.2/IRTP,20/01/11,11/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad899AA.doc
5,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,1,UNIFORMES PARA CABALLEROS - ADMINISTRATIVOS,"38884,61","37230,2",19/01/11,28/01/11,20348511824,SAMITEX SA,N,20348511824,SAMITEX SA,,,001977-01656825-00500610,02-2011-GAF.2/IRTP,20/01/11,11/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad899AA.doc
6,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,1,UNIFORMES PARA CABALLEROS - ADMINISTRATIVOS,"38884,61","37230,2",19/01/11,28/01/11,20348511824,SAMITEX SA,N,20348511824,SAMITEX SA,,,001977-01656825-00500610,02-2011-GAF.2/IRTP,20/01/11,11/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad899AA.doc
7,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,2,UNIFORMES PARA DAMAS - ADMINISTRATIVOS,24024,"19219,2",19/01/11,28/01/11,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,N,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,,,001977-01656825-00500613,03-2011-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598radD8683.doc
8,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,2,UNIFORMES PARA DAMAS - ADMINISTRATIVOS,24024,"19219,2",19/01/11,28/01/11,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,N,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,,,001977-01656825-00500613,03-2011-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598radD8683.doc
9,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,2,UNIFORMES PARA DAMAS - ADMINISTRATIVOS,24024,"19219,2",19/01/11,28/01/11,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,N,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,,,001977-01656825-00500613,03-2011-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598radD8683.doc
10,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,2,UNIFORMES PARA DAMAS - ADMINISTRATIVOS,24024,"19219,2",19/01/11,28/01/11,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,N,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,,,001977-01656825-00500613,03-2011-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598radD8683.doc
11,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,2,UNIFORMES PARA DAMAS - ADMINISTRATIVOS,24024,"19219,2",19/01/11,28/01/11,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,N,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,,,001977-01656825-00500613,03-2011-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598radD8683.doc
12,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,2,UNIFORMES PARA DAMAS - ADMINISTRATIVOS,24024,"19219,2",19/01/11,28/01/11,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,N,20508705884,MODAS Y DISEñOS VESTIBELLA E.I.R.L,,,001977-01656825-00500613,03-2011-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598radD8683.doc
13,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,3,UNIFORMES PARA EL PERSONAL OPERATIVOS,"27539,27",19800,19/01/11,28/01/11,20506719331,INDUSTRIAS LUANDA E.I.R.L.,N,20506719331,INDUSTRIAS LUANDA E.I.R.L.,,,001977-01656825-00500616,04-2010-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad43D4B.doc
14,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,3,UNIFORMES PARA EL PERSONAL OPERATIVOS,"27539,27",19800,19/01/11,28/01/11,20506719331,INDUSTRIAS LUANDA E.I.R.L.,N,20506719331,INDUSTRIAS LUANDA E.I.R.L.,,,001977-01656825-00500616,04-2010-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad43D4B.doc
15,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,3,UNIFORMES PARA EL PERSONAL OPERATIVOS,"27539,27",19800,19/01/11,28/01/11,20506719331,INDUSTRIAS LUANDA E.I.R.L.,N,20506719331,INDUSTRIAS LUANDA E.I.R.L.,,,001977-01656825-00500616,04-2010-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad43D4B.doc
16,SEACE 2,2010,20338915471,"INSTITUTO NACIONAL DE RADIO, TELEVISION DEL PERU",PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 19 - 2010 - IRTP,1,24/11/10,BIENES,ADQUISICION DE UNIFORMES PARA EL PERSONAL CAP DEL IRTP,"90447,88",Soles,3,UNIFORMES PARA EL PERSONAL OPERATIVOS,"27539,27",19800,19/01/11,28/01/11,20506719331,INDUSTRIAS LUANDA E.I.R.L.,N,20506719331,INDUSTRIAS LUANDA E.I.R.L.,,,001977-01656825-00500616,04-2010-GAF.2/IRTP,20/01/11,10/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1977\1656825356040598rad43D4B.doc
