N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,SUBASTA INVERSA ELECTRONICA,MENOR CUANTIA,AMC - 1 - 2013 - OSINFOR,1,21/01/13,SERVICIOS,Servicio de seguro obligatorio de accidentes de transito para motocicletas,"22553,5",Soles,1,SEGURO OBLIGATORIO DE ACCIDENTES DE TRANSITO - SOAT,"22553,5","22323,5",01/02/13,13/02/13,20100210909,LA POSITIVA SEGUROS Y REASEGUROS,N,20100210909,LA POSITIVA SEGUROS Y REASEGUROS,,,200283-02463151-00681567,118,01/02/13,01/02/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2463151526078024rad08C52.pdf
2,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2013 - OSINFOR,2,29/01/13,SERVICIOS,Servicio de alquiler de estacionamientos para botes deslizadores de la Oficina Desconcentrada de Iquitos.,33750,Soles,1,Servicio de alquiler de estacionamientos para botes deslizadores de la Oficina Desconcentrada de Iquitos.,33750,33750,04/02/13,26/03/13,20366291939,MARIE DISTRIBUIDORES S.R.L.,N,20366291939,MARIE DISTRIBUIDORES S.R.L.,,,200283-02469204-00692119,3,04/02/13,15/07/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2469204205032539radD2438.pdf
3,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 4 - 2013 - OSINFOR,1,21/02/13,SERVICIOS,Contratacion del servicio de limpieza y pintado de la fachada de la Sede Central y del Local Adicional del OSINFOR,"17197,62",Soles,1,Contrataci¢n del servicio de limpieza y pintado de la fachada de la Sede Central y del Local Adicional del OSINFOR,"17197,62",12380,08/03/13,01/04/13,10104300974,ELGUERA CADENAS IRENE MILUSKA,N,10104300974,ELGUERA CADENAS IRENE MILUSKA,,,200283-02491486-00693041,254,09/03/13,24/03/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2491486217799189rad06395.pdf
4,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 4 - 2013 - OSINFOR,1,21/02/13,SERVICIOS,Contratacion del servicio de limpieza y pintado de la fachada de la Sede Central y del Local Adicional del OSINFOR,"17197,62",Soles,1,Contrataci¢n del servicio de limpieza y pintado de la fachada de la Sede Central y del Local Adicional del OSINFOR,"17197,62",12380,08/03/13,01/04/13,10104300974,ELGUERA CADENAS IRENE MILUSKA,N,10104300974,ELGUERA CADENAS IRENE MILUSKA,,,200283-02491486-00693041,254,09/03/13,24/03/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2491486217799189rad06395.pdf
5,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 6 - 2013 - OSINFOR,1,25/02/13,BIENES,Adquisicion de repuestos para impresoras,"30240,88",Soles,1,Adquisicion de repuestos para impresoras,"30240,88",27720,12/03/13,27/03/13,20509850675,COMPUTER SALAZAR HNOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,N,20509850675,COMPUTER SALAZAR HNOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,,,200283-02495374-00692818,00051,13/03/13,17/03/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2495374450509106radE32DC.pdf
6,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 5 - 2013 - OSINFOR,2,27/02/13,SERVICIOS,Contratacion del servicio de monitoreo satelital GPS para rastreo de la flota de vehiculos de la Sede Central y Oficinas Desconcentradas del OSINFOR,"17774,18",Soles,1,Contrataci¢n del servicio de monitoreo sat¿lital (GPS) para rastreo de la flota de veh¡culos de la Sede Central y Oficinas Desconcentradas del OSINFOR,"17774,18",17600,22/03/13,24/05/13,20454881282,STRATOS GPS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA-STRATOS GPS E.I.R.L.,N,20454881282,STRATOS GPS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA-STRATOS GPS E.I.R.L.,,,200283-02500522-00711507,4,12/04/13,11/04/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\25005221049622280radA4223.pdf
7,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 7 - 2013 - OSINFOR,1,01/03/13,SERVICIOS,Servicio de confeccion de revistas institucionales,32028,Soles,1,Servicio de confecci¢n de revistas institucionales,32028,30680,14/03/13,27/03/13,20304411687,PUNTO & GRAFIA S.A.C.,N,20304411687,PUNTO & GRAFIA S.A.C.,,,200283-02506236-00692837,00269,15/03/13,03/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2506236459668860radC06B7.pdf
8,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2013 - OSINFOR,1,01/03/13,BIENES,Adquisicion de implementos de campo para las Direcciones de Linea,45900,Soles,1,Adquisici¢n de implementos de campo para las Direcciones de L¡nea,45900,34425,12/04/13,24/05/13,20392616935,PROVEEDORA 2011 SOCIEDAD ANONIMA CERRADA-PROVEEDORA 2011 S.A.C.,N,20392616935,PROVEEDORA 2011 SOCIEDAD ANONIMA CERRADA-PROVEEDORA 2011 S.A.C.,,,200283-02506274-00711521,6,13/04/13,22/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\25062741049622756rad98D83.pdf
9,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2013 - OSINFOR,1,01/03/13,BIENES,Adquisicion de polos de algodon,50274,Soles,1,Adquisici¢n de polos de algod¢n,50274,34425,11/04/13,23/04/13,20511009210,FENITEX S.A.C.,N,20511009210,FENITEX S.A.C.,,,200283-02506261-00700339,005,12/04/13,19/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2506261925190225rad2BC09.pdf
10,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2013 - OSINFOR,1,10/04/13,SERVICIOS,Contratacion del servicio de diagramacion e impresion de brochures tripticos cuadripticos y porta documentos solicitados por las Direcciones de Linea del OSINFOR,"99523,33",Soles,1,"Contrataci¢n del servicio de diagramaci¢n e impresi¢n de brochures: tr¡pticos, cuadripticos y porta documentos solicitados por las Direcciones de L¡nea del OSINFOR","99523,33",73500,20/05/13,25/06/13,20359508779,EDITORA - IMPRENTA RIOS S.A.C.,N,20359508779,EDITORA - IMPRENTA RIOS S.A.C.,,,200283-02566888-00722472,7,21/05/13,30/01/14,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2566888176979329rad19161.pdf
11,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 8 - 2013 - OSINFOR,1,11/04/13,SERVICIOS,Contratacion del servicio de diseno diagramacion e impresion de manuales de supervision y reglamento del procedimiento administrativo unico solicitado por las Direcciones de Linea del OSINFOR,"26667,5",Soles,1,"Contrataci¢n del servicio de dise¤o, diagramaci¢n e impresi¢n de manuales de supervisi¢n y reglamento del procedimiento administrativo £nico solicitado por las Direcciones de L¡nea del OSINFOR","26667,5",21660,24/04/13,07/05/13,20266608668,Q & P IMPRESORES S.R.LTDA,N,20266608668,Q & P IMPRESORES S.R.LTDA,,,200283-02569725-00704800,000382,25/04/13,19/05/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2569725178640108rad30462.pdf
12,SEACE 2,2013,20522224783,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 9 - 2013 - OSINFOR,1,11/04/13,BIENES,Adquisicion de servidor para el OSINFOR,"21311,73",Soles,1,Adquisici¢n de servidor para el OSINFOR,"21311,73",17800,24/04/13,07/05/13,20511165343,3G CONSULTING SOCIEDAD ANONIMA CERRADA/ 3G CONSULTING S.A.C.,N,20511165343,3G CONSULTING SOCIEDAD ANONIMA CERRADA/ 3G CONSULTING S.A.C.,,,200283-02569650-00704789,00077,25/04/13,29/04/13,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\200283\2569650178640108rad2FB9B.pdf
