N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,DECRETO DE URGENCIA N° 078-2009 (ADJUDICACION DIRECTA),DU 078 2009 (AD) - 90 - 2010 - OSINERGMIN,1,24/11/10,BIENES,ADQUISICION DEL EQUIPO CONVERSOR CELULAR GSM,57569,Soles,1,ADQUISICION DEL EQUIPO CONVERSOR CELULAR GSM,57569,56500,04/01/11,06/01/11,20117779379,SUMINISTROS TECNOLOGICOS E I R LTDA,N,20117779379,SUMINISTROS TECNOLOGICOS E I R LTDA,,,001921-01656174-00498694,001-2011,05/01/11,24/01/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\1656174742001297radA672F.pdf
2,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 34 - 2010 - OSINERGMIN,1,25/11/10,SERVICIOS,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,Soles,1,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,458000,25/03/11,28/03/11,20389359841,BDO CONSULTING S.A.C.,N,20389359841,BDO CONSULTING S.A.C.,,,001921-01657670-00507138,012-2011,28/03/11,26/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\165767074959687rad52A28.pdf
3,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 34 - 2010 - OSINERGMIN,1,25/11/10,SERVICIOS,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,Soles,1,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,458000,25/03/11,28/03/11,20389359841,BDO CONSULTING S.A.C.,N,20389359841,BDO CONSULTING S.A.C.,,,001921-01657670-00507138,012-2011,28/03/11,26/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\165767074959687rad52A28.pdf
4,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 34 - 2010 - OSINERGMIN,1,25/11/10,SERVICIOS,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,Soles,1,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,458000,25/03/11,28/03/11,20389359841,BDO CONSULTING S.A.C.,N,20389359841,BDO CONSULTING S.A.C.,,,001921-01657670-00507138,012-2011,28/03/11,26/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\165767074959687rad52A28.pdf
5,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 34 - 2010 - OSINERGMIN,1,25/11/10,SERVICIOS,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,Soles,1,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,458000,25/03/11,28/03/11,20389359841,BDO CONSULTING S.A.C.,N,20389359841,BDO CONSULTING S.A.C.,,,001921-01657670-00507138,012-2011,28/03/11,26/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\165767074959687rad52A28.pdf
6,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 34 - 2010 - OSINERGMIN,1,25/11/10,SERVICIOS,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,Soles,1,CONTRATACION DEL SERVICIO PARA LA ELABORACION DEL PLAN ESTRATEGICO DEL AREA DE TI 2011-2013,612447,458000,25/03/11,28/03/11,20389359841,BDO CONSULTING S.A.C.,N,20389359841,BDO CONSULTING S.A.C.,,,001921-01657670-00507138,012-2011,28/03/11,26/07/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\165767074959687rad52A28.pdf
7,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,LICITACION PUBLICA,LP - 6 - 2010 - OSINERGMIN,1,29/11/10,BIENES,ADQUISICION DE EQUIPOS DE COMUNICACION Y TELEFONIA,1443643,Soles,1,ADQUISICION E IMPLEMENTACION DE EQUIPOS WIRELESS EN EL EDIFICIO DE MAGDALENA,"61711,9",61500,07/02/11,15/02/11,20102284845,ELECTRODATA S.A.C.,N,20102284845,ELECTRODATA S.A.C.,,,001921-01658242-00502166,004-2011,08/02/11,24/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\1658242328201079radB8423.pdf
8,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,LICITACION PUBLICA,LP - 7 - 2010 - OSINERGMIN,1,29/11/10,BIENES,ADQUISICION DE SERVIDORES Y ACCESORIOS,2127071,Soles,1,ADQUISICION DE SERVIDORES BLADES PARA CONSOLIDACION DE SERVICIOS,"679415,65","543534,95",18/02/11,22/02/11,20208199448,MICRO ADVANCE COMPUTER S A,N,20208199448,MICRO ADVANCE COMPUTER S A,,,001921-01658262-00502719,010-2011,19/02/11,31/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\1658262458955910rad98F9D.pdf
9,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,LICITACION PUBLICA,LP - 6 - 2010 - OSINERGMIN,1,29/11/10,BIENES,ADQUISICION DE EQUIPOS DE COMUNICACION Y TELEFONIA,1443643,Soles,2,ADQUISICION E IMPLEMENTACION DE SWITCHES APILABLES CAPA 3,"551137,5","509581,8",18/02/11,23/02/11,20100153751,GMD S A,N,20100153751,GMD S A,,,001921-01658242-00502852,011-2011,19/02/11,05/04/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\1658242673194118radC5480.pdf
10,SEACE 2,2010,20376082114,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,PROCEDIMIENTO CLASICO,LICITACION PUBLICA,LP - 7 - 2010 - OSINERGMIN,1,29/11/10,BIENES,ADQUISICION DE SERVIDORES Y ACCESORIOS,2127071,Soles,2,ESTACIONES DE TRABAJO,"325253,6","297257,27",08/02/11,14/02/11,20208199448,MICRO ADVANCE COMPUTER S A,N,20208199448,MICRO ADVANCE COMPUTER S A,,,001921-01658262-00501981,006-2011,09/02/11,21/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1921\1658262132080973radA3BDB.pdf
