N°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 19 - 2010 - SUNASS,3,14/01/11,SERVICIOS,SERVICIO DE INVENTARIO DE BIENES PATRIMONIALES DE LA SUNASS,20000,Soles,1,SERVICIO DE INVENTARIO DE BIENES PATRIMONIALES,20000,19900,20/01/11,20/01/11,20482543147,GRUPO ALKADI INTERNACIONAL S.A.C.,N,20482543147,GRUPO ALKADI INTERNACIONAL S.A.C.,,,001923-01680950-00499846,014-2011-SUNASS,24/01/11,09/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\16809501003753861rad1726D.pdf
2,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 4 - 2011 - SUNASS,1,26/01/11,SERVICIOS,Servicio de Inventario de Bienes Patrimoniales,20000,Soles,1,Servicio de Inventario de Bienes Patrimoniales,20000,17600,08/02/11,09/02/11,20531670125,ENGINEERING SYSTEM AND SERVICES S.A.C.,N,20531670125,ENGINEERING SYSTEM AND SERVICES S.A.C.,,,001923-01682657-00501465,0063-2011,09/02/11,08/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1682657349116347radCA848.pdf
3,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 2 - 2011 - SUNASS,1,08/02/11,SERVICIOS,Consultoria para la coordinacion del convenio INWENT SUNASS para el manejo de restricciones TOC 2011,88000,Soles,1,Consultor¡a para la Coordinaci¢n del Convenio INWENT SUNASS para el Manejo de Restricciones (TOC) 2011,88000,88000,18/03/11,22/03/11,10064506515,RIOFRIO CISNEROS MERCEDES VICTORIA,N,10064506515,RIOFRIO CISNEROS MERCEDES VICTORIA,,,001923-01685366-00506291,001-2011-SUNASS,21/03/11,20/03/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\168536685032974rad92206.pdf
4,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 1 - 2011 - SUNASS,1,14/02/11,SERVICIOS,Servicio de Expedicion de Pasajes Aereos Nacionales e Internacionales,"118938,91",Soles,1,Servicio de Expedici¢n de Pasajes A¿reos Nacionales e Internacionales,"118938,91","69730,52",25/03/11,01/04/11,20100999430,DOMIRUTH TRAVEL SERVICE S.A.C,N,20100999430,DOMIRUTH TRAVEL SERVICE S.A.C,,,001923-01686896-00507824,002-2011-SUNASS,01/05/11,20/12/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1686896674599816rad5868C.pdf
5,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 9 - 2011 - SUNASS,1,18/02/11,BIENES,ADQUISICION DE UNIFORME PARA EL PERSONAL FEMENINO DE LA SUNASS,23100,Soles,1,ADQUISICION DE UNIFORME PARA EL PERSONAL FEMENINO DE LA SUNASS,23100,16566,07/03/11,07/03/11,20155108038,SPORT PACIFIC REPRESENTACIONES S.A.,N,20155108038,SPORT PACIFIC REPRESENTACIONES S.A.,,,001923-01688598-00504547,0053-2011-SUNASS,08/03/11,31/03/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1688598667675391rad4A999.pdf
6,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 5 - 2011 - SUNASS,1,22/02/11,SERVICIOS,SERVICIO DE IMPRESION Y FOTOCOPIADO,24816,Soles,1,Servicio de impresi¢n y fotocopiado,24816,18480,28/02/11,28/02/11,20100466709,COPISERVICE E I R L,N,20100466709,COPISERVICE E I R L,,,001923-01689413-00503371,0093-2011-SUNASS,01/03/11,29/02/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1689413456321190rad6B5A6.pdf
7,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2011 - SUNASS,1,01/03/11,BIENES,ADQUISICION DE UNIFORME PARA PERSONAL MASCULINO DE LA SUNASS,"46285,56",Soles,1,ADQUISICION DE UNIFORME PARA PERSONAL MASCULINO DE LA SUNASS,"46285,56","35557,2",20/04/11,11/05/11,20508001216,LUGARTEX S.C.R.L.,N,20508001216,LUGARTEX S.C.R.L.,,,001923-01692125-00512828,003-2011,25/04/11,12/05/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1692125323820996radE7A5F.pdf
8,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 2 - 2011 - SUNASS,2,03/03/11,SERVICIOS,Servicio de Analisis de Toma de Muestras de Agua,"17528,7",Soles,1,SERVICIO DE ANALISIS DE TOMA DE MUESTRAS DE AGUA,"17528,7",17346,09/03/11,09/03/11,20100114349,SGS DEL PERU S.A.C.,N,20100114349,SGS DEL PERU S.A.C.,,,001923-01693297-00504775,099-2011-SUNASS,10/03/11,09/10/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\16932971057864440radBA438.pdf
9,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 14 - 2011 - SUNASS,1,11/03/11,BIENES,ADQUISICION DE COMBUSTIBLE PARA LOS VEHICULOS DE LA INSTITUCION,"34447,8",Soles,1,Adquisici¢n de Combustible para los Veh¡culos de la Instituci¢n,"34447,8","34447,8",17/03/11,17/03/11,20100094569,ASESORIA COMERCIAL S.A. ACOSA,N,20100094569,ASESORIA COMERCIAL S.A. ACOSA,,,001923-01696851-00505890,0059-2011-SUNASS,18/03/11,17/03/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1696851127966793rad0BD87.pdf
10,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 13 - 2011 - SUNASS,1,24/03/11,BIENES,ADQUISICION E IMPLEMENTACION DE CAMARAS DE SEGURIDAD (CCTV),30000,Soles,1,Adquisici¢n e Implementaci¢n de C maras de Seguridad (CCTV),30000,30000,29/03/11,29/03/11,20183618092,SENSORMATIC DEL PERU S.A.,N,20183618092,SENSORMATIC DEL PERU S.A.,,,001923-01703244-00507368,0077-2011-SUNASS,30/03/11,12/05/11,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1703244289260827rad931F9.pdf
11,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 17 - 2011 - SUNASS,1,28/04/11,SERVICIOS,ALQUILER DE INMUEBLE PARA LA OFICINA DESCENTRALIZADA DE AREQUIPA,18000,Soles,1,ALQUILER DE INMUEBLE PARA LA ODS AREQUIPA,18000,18000,12/05/11,25/05/11,10296186355,ALEMAN ZAVALA ELEANA MARA,N,10296186355,ALEMAN ZAVALA ELEANA MARA,,,001923-01720004-00514687,004-2011-SUNASS,03/05/11,02/05/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1720004576512079radDF247.pdf
12,SEACE 2,2011,20158219655,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2011 - SUNASS,2,09/05/11,SERVICIOS,Servicio de Monitoreo de Programas y Noticieros de Television y Radio,22660,Soles,1,Servicio de Monitoreo de Programas y Noticieros de Televisi¢n y Radio,22660,19200,20/05/11,20/05/11,C0001914934,IMACORP SAC - IMACORP NOTICIAS EIRL,S,20525024467,IMACORP NOTICIAS EIRL,20473422442,IMACORP S.A.C.,001923-01723945-00514262,0150-2011-SUNASS,01/06/11,31/05/12,http://zonasegura.seace.gob.pe/particion1/mon\docs\contratos\2011\1923\1723945827013229rad7704C.pdf
